% Data dagdebieten Vecht (representatief geacht voor Dalfsen)
% Door:	Chris Geerse
% Datum: 6 februari 2006
%
% Perioden:
% 01-01-1960 t/m 31-12-1983
% 01-10-1993 t/m 31-03-1994
% 01-10-1998 t/m 31-03-1999
% 01-10-2000 t/m 31-03-2001
%
% Herkomst data van 1-1-1960 t/m 31-12-1983 uit een Q-H relatie, zie [Chbab, 1995] voor informatie.
% [Chbab, 2005]: Frequentieanalyse Vechtafvoer te Vechterweerd. E.H. Chbab. 
% RIZA-Werkdocument 95.131x. RIZA Lelystad, september 1995.
%
% Van de drie daaropvolgende perioden is de herkomst onduidelijk.
% De kwaliteit van deze metingen is twijfelachtig:
% a. deze perioden bevatten geen erg lage afvoeren meer;
% b. het jaar 2000 bevat alleen afvoeren circa 125 m3/s (laat jaar 2000 bij voorkeur weg in analyses)
%
%jaar  	  maand 	  dag	afvoer
1960  	   07   	   30	6
1960  	   07   	   31	3
1960  	   08   	   01	2
1960  	   08   	   02	7
1960  	   08   	   03	56
1960  	   08   	   04	42
1960  	   08   	   05	50
1960  	   08   	   06	42
1960  	   08   	   07	24
1960  	   08   	   08	17
1960  	   08   	   09	20
1960  	   08   	   10	14
1960  	   08   	   11	10
1960  	   08   	   12	54
1960  	   08   	   13	64
1960  	   08   	   14	80
1960  	   08   	   15	60
1960  	   08   	   16	52
1960  	   08   	   17	51
1960  	   08   	   18	53
1960  	   08   	   19	49
1960  	   08   	   20	53
1960  	   08   	   21	49
1960  	   08   	   22	51
1960  	   08   	   23	51
1960  	   08   	   24	37
1960  	   08   	   25	46
1960  	   08   	   26	37
1960  	   08   	   27	32
1960  	   08   	   28	30
1960  	   08   	   29	28
1960  	   08   	   30	31
1960  	   08   	   31	40
1960  	   09   	   01	64
1960  	   09   	   02	72
1960  	   09   	   03	66
1960  	   09   	   04	66
1960  	   09   	   05	60
1960  	   09   	   06	50
1960  	   09   	   07	47
1960  	   09   	   08	68
1960  	   09   	   09	66
1960  	   09   	   10	58
1960  	   09   	   11	51
1960  	   09   	   12	27
1960  	   09   	   13	29
1960  	   09   	   14	28
1960  	   09   	   15	23
1960  	   09   	   16	17
1960  	   09   	   17	29
1960  	   09   	   18	30
1960  	   09   	   19	19
1960  	   09   	   20	7
1960  	   09   	   21	16
1960  	   09   	   22	66
1960  	   09   	   23	102
1960  	   09   	   24	111
1960  	   09   	   25	135
1960  	   09   	   26	76
1960  	   09   	   27	60
1960  	   09   	   28	42
1960  	   09   	   29	44
1960  	   09   	   30	25
1960   	  10    	  01	31
1960   	  10    	  02	29
1960   	  10    	  03	139
1960   	  10    	  04	25
1960   	  10    	  05	34
1960   	  10    	  06	25
1960   	  10    	  07	24
1960   	  10    	  08	24
1960   	  10    	  09	23
1960   	  10    	  10	16
1960   	  10    	  11	24
1960   	  10    	  12	23
1960   	  10    	  13	31
1960   	  10    	  14	50
1960   	  10    	  15	64
1960   	  10    	  16	60
1960   	  10    	  17	61
1960   	  10    	  18	56
1960   	  10    	  19	54
1960   	  10    	  20	42
1960   	  10    	  21	47
1960   	  10    	  22	42
1960   	  10    	  23	75
1960   	  10    	  24	75
1960   	  10    	  25	88
1960   	  10    	  26	77
1960   	  10    	  27	69
1960   	  10    	  28	60
1960   	  10    	  29	96
1960   	  10    	  30	96
1960   	  10    	  31	77
1960   	  11    	  01	75
1960   	  11    	  02	73
1960   	  11    	  03	123
1960   	  11    	  04	135
1960   	  11    	  05	123
1960   	  11    	  06	154
1960   	  11    	  07	158
1960   	  11    	  08	148
1960   	  11    	  09	117
1960   	  11    	  10	99
1960   	  11    	  11	84
1960   	  11    	  12	71
1960   	  11    	  13	73
1960   	  11    	  14	66
1960   	  11    	  15	60
1960   	  11    	  16	49
1960   	  11    	  17	67
1960   	  11    	  18	95
1960   	  11    	  19	90
1960   	  11    	  20	160
1960   	  11    	  21	147
1960   	  11    	  22	134
1960   	  11    	  23	135
1960   	  11    	  24	136
1960   	  11    	  25	117
1960   	  11    	  26	109
1960   	  11    	  27	139
1960   	  11    	  28	173
1960   	  11    	  29	185
1960   	  11    	  30	184
1960   	  12    	  01	193
1960   	  12    	  02	186
1960   	  12    	  03	170
1960   	  12    	  04	153
1960   	  12    	  05	161
1960   	  12    	  06	229
1960   	  12    	  07	252
1960   	  12    	  08	259
1960   	  12    	  09	263
1960   	  12    	  10	266
1960   	  12    	  11	263
1960   	  12    	  12	260
1960   	  12    	  13	247
1960   	  12    	  14	235
1960   	  12    	  15	208
1960   	  12    	  16	171
1960   	  12    	  17	118
1960   	  12    	  18	114
1960   	  12    	  19	106
1960   	  12    	  20	101
1960   	  12    	  21	94
1960   	  12    	  22	95
1960   	  12    	  23	97
1960   	  12    	  24	93
1960   	  12    	  25	83
1960   	  12    	  26	77
1960   	  12    	  27	77
1960   	  12    	  28	77
1960   	  12    	  29	74
1960   	  12    	  30	74
1960   	  12    	  31	64
1961   	  01    	  01	56
1961   	  01    	  02	66
1961   	  01    	  03	87
1961   	  01    	  04	93
1961   	  01    	  05	133
1961   	  01    	  06	132
1961   	  01    	  07	114
1961   	  01    	  08	130
1961   	  01    	  09	123
1961   	  01    	  10	130
1961   	  01    	  11	130
1961   	  01    	  12	142
1961   	  01    	  13	136
1961   	  01    	  14	104
1961   	  01    	  15	97
1961   	  01    	  16	101
1961   	  01    	  17	95
1961   	  01    	  18	87
1961   	  01    	  19	69
1961   	  01    	  20	50
1961   	  01    	  21	49
1961   	  01    	  22	44
1961   	  01    	  23	84
1961   	  01    	  24	138
1961   	  01    	  25	119
1961   	  01    	  26	98
1961   	  01    	  27	71
1961   	  01    	  28	118
1961   	  01    	  29	124
1961   	  01    	  30	111
1961   	  01    	  31	114
1961   	  02    	  01	194
1961   	  02    	  02	208
1961   	  02    	  03	216
1961   	  02    	  04	209
1961   	  02    	  05	201
1961   	  02    	  06	202
1961   	  02    	  07	204
1961   	  02    	  08	191
1961   	  02    	  09	185
1961   	  02    	  10	176
1961   	  02    	  11	184
1961   	  02    	  12	171
1961   	  02    	  13	170
1961   	  02    	  14	176
1961   	  02    	  15	170
1961   	  02    	  16	145
1961   	  02    	  17	117
1961   	  02    	  18	103
1961   	  02    	  19	87
1961   	  02    	  20	82
1961   	  02    	  21	72
1961   	  02    	  22	67
1961   	  02    	  23	60
1961   	  02    	  24	66
1961   	  02    	  25	45
1961   	  02    	  26	83
1961   	  02    	  27	82
1961   	  02    	  28	79
1961   	  03    	  01	84
1961   	  03    	  02	171
1961   	  03    	  03	162
1961   	  03    	  04	156
1961   	  03    	  05	149
1961   	  03    	  06	143
1961   	  03    	  07	124
1961   	  03    	  08	97
1961   	  03    	  09	84
1961   	  03    	  10	60
1961   	  03    	  11	44
1961   	  03    	  12	52
1961   	  03    	  13	50
1961   	  03    	  14	51
1961   	  03    	  15	61
1961   	  03    	  16	67
1961   	  03    	  17	58
1961   	  03    	  18	49
1961   	  03    	  19	45
1961   	  03    	  20	42
1961   	  03    	  21	38
1961   	  03    	  22	49
1961   	  03    	  23	58
1961   	  03    	  24	54
1961   	  03    	  25	58
1961   	  03    	  26	50
1961   	  03    	  27	44
1961   	  03    	  28	45
1961   	  03    	  29	28
1961   	  03    	  30	39
1961   	  03    	  31	44
1961   	  04    	  01	87
1961   	  04    	  02	95
1961   	  04    	  03	125
1961   	  04    	  04	123
1961   	  04    	  05	110
1961   	  04    	  06	114
1961   	  04    	  07	112
1961   	  04    	  08	102
1961   	  04    	  09	104
1961   	  04    	  10	89
1961   	  04    	  11	81
1961   	  04    	  12	69
1961   	  04    	  13	57
1961   	  04    	  14	46
1961   	  04    	  15	45
1961   	  04    	  16	47
1961   	  04    	  17	44
1961   	  04    	  18	58
1961   	  04    	  19	60
1961   	  04    	  20	45
1961   	  04    	  21	35
1961   	  04    	  22	32
1961   	  04    	  23	30
1961   	  04    	  24	27
1961   	  04    	  25	35
1961   	  04    	  26	25
1961   	  04    	  27	24
1961   	  04    	  28	27
1961   	  04    	  29	35
1961   	  04    	  30	35
1961   	  05    	  01	35
1961   	  05    	  02	39
1961   	  05    	  03	43
1961   	  05    	  04	39
1961   	  05    	  05	37
1961   	  05    	  06	37
1961   	  05    	  07	37
1961   	  05    	  08	37
1961   	  05    	  09	42
1961   	  05    	  10	59
1961   	  05    	  11	56
1961   	  05    	  12	53
1961   	  05    	  13	42
1961   	  05    	  14	28
1961   	  05    	  15	25
1961   	  05    	  16	25
1961   	  05    	  17	15
1961   	  05    	  18	16
1961   	  05    	  19	21
1961   	  05    	  20	16
1961   	  05    	  21	19
1961   	  05    	  22	42
1961   	  05    	  23	62
1961   	  05    	  24	29
1961   	  05    	  25	30
1961   	  05    	  26	25
1961   	  05    	  27	9
1961   	  05    	  28	17
1961   	  05    	  29	17
1961   	  05    	  30	13
1961   	  05    	  31	16
1961   	  06    	  01	16
1961   	  06    	  02	21
1961   	  06    	  03	29
1961   	  06    	  04	43
1961   	  06    	  05	23
1961   	  06    	  06	24
1961   	  06    	  07	31
1961   	  06    	  08	44
1961   	  06    	  09	38
1961   	  06    	  10	43
1961   	  06    	  11	39
1961   	  06    	  12	29
1961   	  06    	  13	28
1961   	  06    	  14	27
1961   	  06    	  15	30
1961   	  06    	  16	25
1961   	  06    	  17	32
1961   	  06    	  18	27
1961   	  06    	  19	23
1961   	  06    	  20	16
1961   	  06    	  21	13
1961   	  06    	  22	13
1961   	  06    	  23	8
1961   	  06    	  24	7
1961   	  06    	  25	7
1961   	  06    	  26	7
1961   	  06    	  27	5
1961   	  06    	  28	6
1961   	  06    	  29	9
1961   	  06    	  30	8
1961   	  07    	  01	3
1961   	  07    	  02	3
1961   	  07    	  03	5
1961   	  07    	  04	5
1961   	  07    	  05	6
1961   	  07    	  06	8
1961   	  07    	  07	8
1961   	  07    	  08	8
1961   	  07    	  09	12
1961   	  07    	  10	8
1961   	  07    	  11	6
1961   	  07    	  12	8
1961   	  07    	  13	9
1961   	  07    	  14	28
1961   	  07    	  15	56
1961   	  07    	  16	44
1961   	  07    	  17	25
1961   	  07    	  18	21
1961   	  07    	  19	29
1961   	  07    	  20	34
1961   	  07    	  21	58
1961   	  07    	  22	44
1961   	  07    	  23	44
1961   	  07    	  24	35
1961   	  07    	  25	29
1961   	  07    	  26	12
1961   	  07    	  27	23
1961   	  07    	  28	19
1961   	  07    	  29	23
1961   	  07    	  30	16
1961   	  07    	  31	16
1961   	  08    	  01	16
1961   	  08    	  02	12
1961   	  08    	  03	13
1961   	  08    	  04	20
1961   	  08    	  05	23
1961   	  08    	  06	54
1961   	  08    	  07	38
1961   	  08    	  08	29
1961   	  08    	  09	27
1961   	  08    	  10	14
1961   	  08    	  11	14
1961   	  08    	  12	13
1961   	  08    	  13	15
1961   	  08    	  14	14
1961   	  08    	  15	16
1961   	  08    	  16	24
1961   	  08    	  17	24
1961   	  08    	  18	24
1961   	  08    	  19	24
1961   	  08    	  20	51
1961   	  08    	  21	39
1961   	  08    	  22	49
1961   	  08    	  23	79
1961   	  08    	  24	88
1961   	  08    	  25	90
1961   	  08    	  26	77
1961   	  08    	  27	62
1961   	  08    	  28	57
1961   	  08    	  29	31
1961   	  08    	  30	32
1961   	  08    	  31	24
1961   	  09    	  01	24
1961   	  09    	  02	24
1961   	  09    	  03	23
1961   	  09    	  04	19
1961   	  09    	  05	17
1961   	  09    	  06	16
1961   	  09    	  07	17
1961   	  09    	  08	43
1961   	  09    	  09	90
1961   	  09    	  10	83
1961   	  09    	  11	72
1961   	  09    	  12	60
1961   	  09    	  13	37
1961   	  09    	  14	42
1961   	  09    	  15	36
1961   	  09    	  16	37
1961   	  09    	  17	37
1961   	  09    	  18	34
1961   	  09    	  19	28
1961   	  09    	  20	25
1961   	  09    	  21	20
1961   	  09    	  22	13
1961   	  09    	  23	15
1961   	  09    	  24	13
1961   	  09    	  25	12
1961   	  09    	  26	15
1961   	  09    	  27	12
1961   	  09    	  28	17
1961   	  09    	  29	9
1961   	  09    	  30	12
1961   	  10    	  01	12
1961   	  10    	  02	17
1961   	  10    	  03	17
1961   	  10    	  04	12
1961   	  10    	  05	13
1961   	  10    	  06	20
1961   	  10    	  07	17
1961   	  10    	  08	16
1961   	  10    	  09	14
1961   	  10    	  10	14
1961   	  10    	  11	10
1961   	  10    	  12	12
1961   	  10    	  13	10
1961   	  10    	  14	9
1961   	  10    	  15	9
1961   	  10    	  16	5
1961   	  10    	  17	6
1961   	  10    	  18	9
1961   	  10    	  19	38
1961   	  10    	  20	91
1961   	  10    	  21	114
1961   	  10    	  22	106
1961   	  10    	  23	84
1961   	  10    	  24	77
1961   	  10    	  25	69
1961   	  10    	  26	74
1961   	  10    	  27	127
1961   	  10    	  28	108
1961   	  10    	  29	99
1961   	  10    	  30	90
1961   	  10    	  31	82
1961   	  11    	  01	66
1961   	  11    	  02	58
1961   	  11    	  03	44
1961   	  11    	  04	56
1961   	  11    	  05	79
1961   	  11    	  06	105
1961   	  11    	  07	97
1961   	  11    	  08	84
1961   	  11    	  09	83
1961   	  11    	  10	82
1961   	  11    	  11	84
1961   	  11    	  12	83
1961   	  11    	  13	75
1961   	  11    	  14	69
1961   	  11    	  15	49
1961   	  11    	  16	49
1961   	  11    	  17	45
1961   	  11    	  18	45
1961   	  11    	  19	43
1961   	  11    	  20	42
1961   	  11    	  21	38
1961   	  11    	  22	35
1961   	  11    	  23	34
1961   	  11    	  24	34
1961   	  11    	  25	32
1961   	  11    	  26	32
1961   	  11    	  27	34
1961   	  11    	  28	35
1961   	  11    	  29	83
1961   	  11    	  30	120
1961   	  12    	  01	106
1961   	  12    	  02	156
1961   	  12    	  03	200
1961   	  12    	  04	234
1961   	  12    	  05	241
1961   	  12    	  06	247
1961   	  12    	  07	274
1961   	  12    	  08	287
1961   	  12    	  09	279
1961   	  12    	  10	259
1961   	  12    	  11	249
1961   	  12    	  12	235
1961   	  12    	  13	231
1961   	  12    	  14	226
1961   	  12    	  15	227
1961   	  12    	  16	232
1961   	  12    	  17	220
1961   	  12    	  18	206
1961   	  12    	  19	175
1961   	  12    	  20	124
1961   	  12    	  21	91
1961   	  12    	  22	72
1961   	  12    	  23	81
1961   	  12    	  24	82
1961   	  12    	  25	74
1961   	  12    	  26	65
1961   	  12    	  27	44
1961   	  12    	  28	57
1961   	  12    	  29	50
1961   	  12    	  30	46
1961   	  12    	  31	38
1962   	  01    	  01	58
1962   	  01    	  02	118
1962   	  01    	  03	135
1962   	  01    	  04	95
1962   	  01    	  05	80
1962   	  01    	  06	67
1962   	  01    	  07	67
1962   	  01    	  08	86
1962   	  01    	  09	88
1962   	  01    	  10	95
1962   	  01    	  11	96
1962   	  01    	  12	106
1962   	  01    	  13	132
1962   	  01    	  14	142
1962   	  01    	  15	132
1962   	  01    	  16	132
1962   	  01    	  17	126
1962   	  01    	  18	113
1962   	  01    	  19	117
1962   	  01    	  20	109
1962   	  01    	  21	117
1962   	  01    	  22	125
1962   	  01    	  23	163
1962   	  01    	  24	200
1962   	  01    	  25	198
1962   	  01    	  26	185
1962   	  01    	  27	191
1962   	  01    	  28	195
1962   	  01    	  29	178
1962   	  01    	  30	161
1962   	  01    	  31	136
1962   	  02    	  01	96
1962   	  02    	  02	83
1962   	  02    	  03	62
1962   	  02    	  04	62
1962   	  02    	  05	71
1962   	  02    	  06	77
1962   	  02    	  07	135
1962   	  02    	  08	128
1962   	  02    	  09	121
1962   	  02    	  10	128
1962   	  02    	  11	108
1962   	  02    	  12	98
1962   	  02    	  13	89
1962   	  02    	  14	158
1962   	  02    	  15	194
1962   	  02    	  16	195
1962   	  02    	  17	190
1962   	  02    	  18	194
1962   	  02    	  19	190
1962   	  02    	  20	173
1962   	  02    	  21	138
1962   	  02    	  22	108
1962   	  02    	  23	86
1962   	  02    	  24	68
1962   	  02    	  25	50
1962   	  02    	  26	52
1962   	  02    	  27	50
1962   	  02    	  28	42
1962   	  03    	  01	40
1962   	  03    	  02	37
1962   	  03    	  03	40
1962   	  03    	  04	45
1962   	  03    	  05	40
1962   	  03    	  06	38
1962   	  03    	  07	37
1962   	  03    	  08	37
1962   	  03    	  09	42
1962   	  03    	  10	36
1962   	  03    	  11	37
1962   	  03    	  12	42
1962   	  03    	  13	62
1962   	  03    	  14	73
1962   	  03    	  15	66
1962   	  03    	  16	56
1962   	  03    	  17	45
1962   	  03    	  18	47
1962   	  03    	  19	43
1962   	  03    	  20	40
1962   	  03    	  21	39
1962   	  03    	  22	36
1962   	  03    	  23	35
1962   	  03    	  24	31
1962   	  03    	  25	31
1962   	  03    	  26	27
1962   	  03    	  27	27
1962   	  03    	  28	30
1962   	  03    	  29	34
1962   	  03    	  30	36
1962   	  03    	  31	40
1962   	  04    	  01	60
1962   	  04    	  02	79
1962   	  04    	  03	72
1962   	  04    	  04	76
1962   	  04    	  05	76
1962   	  04    	  06	83
1962   	  04    	  07	83
1962   	  04    	  08	89
1962   	  04    	  09	96
1962   	  04    	  10	148
1962   	  04    	  11	156
1962   	  04    	  12	125
1962   	  04    	  13	117
1962   	  04    	  14	106
1962   	  04    	  15	88
1962   	  04    	  16	66
1962   	  04    	  17	62
1962   	  04    	  18	74
1962   	  04    	  19	114
1962   	  04    	  20	90
1962   	  04    	  21	90
1962   	  04    	  22	79
1962   	  04    	  23	68
1962   	  04    	  24	51
1962   	  04    	  25	42
1962   	  04    	  26	30
1962   	  04    	  27	34
1962   	  04    	  28	31
1962   	  04    	  29	30
1962   	  04    	  30	28
1962   	  05    	  01	25
1962   	  05    	  02	21
1962   	  05    	  03	23
1962   	  05    	  04	23
1962   	  05    	  05	23
1962   	  05    	  06	21
1962   	  05    	  07	22
1962   	  05    	  08	23
1962   	  05    	  09	22
1962   	  05    	  10	20
1962   	  05    	  11	27
1962   	  05    	  12	37
1962   	  05    	  13	27
1962   	  05    	  14	31
1962   	  05    	  15	37
1962   	  05    	  16	32
1962   	  05    	  17	31
1962   	  05    	  18	31
1962   	  05    	  19	38
1962   	  05    	  20	37
1962   	  05    	  21	32
1962   	  05    	  22	21
1962   	  05    	  23	21
1962   	  05    	  24	21
1962   	  05    	  25	24
1962   	  05    	  26	24
1962   	  05    	  27	22
1962   	  05    	  28	24
1962   	  05    	  29	28
1962   	  05    	  30	35
1962   	  05    	  31	31
1962   	  06    	  01	27
1962   	  06    	  02	25
1962   	  06    	  03	15
1962   	  06    	  04	12
1962   	  06    	  05	10
1962   	  06    	  06	9
1962   	  06    	  07	2
1962   	  06    	  08	5
1962   	  06    	  09	3
1962   	  06    	  10	7
1962   	  06    	  11	8
1962   	  06    	  12	6
1962   	  06    	  13	5
1962   	  06    	  14	12
1962   	  06    	  15	10
1962   	  06    	  16	5
1962   	  06    	  17	8
1962   	  06    	  18	9
1962   	  06    	  19	6
1962   	  06    	  20	10
1962   	  06    	  21	9
1962   	  06    	  22	3
1962   	  06    	  23	3
1962   	  06    	  24	2
1962   	  06    	  25	5
1962   	  06    	  26	9
1962   	  06    	  27	3
1962   	  06    	  28	3
1962   	  06    	  29	9
1962   	  06    	  30	10
1962   	  07    	  01	5
1962   	  07    	  02	5
1962   	  07    	  03	6
1962   	  07    	  04	10
1962   	  07    	  05	8
1962   	  07    	  06	5
1962   	  07    	  07	8
1962   	  07    	  08	9
1962   	  07    	  09	7
1962   	  07    	  10	2
1962   	  07    	  11	3
1962   	  07    	  12	6
1962   	  07    	  13	5
1962   	  07    	  14	9
1962   	  07    	  15	23
1962   	  07    	  16	10
1962   	  07    	  17	12
1962   	  07    	  18	12
1962   	  07    	  19	15
1962   	  07    	  20	22
1962   	  07    	  21	12
1962   	  07    	  22	5
1962   	  07    	  23	8
1962   	  07    	  24	10
1962   	  07    	  25	6
1962   	  07    	  26	1
1962   	  07    	  27	6
1962   	  07    	  28	5
1962   	  07    	  29	8
1962   	  07    	  30	7
1962   	  07    	  31	6
1962   	  08    	  01	6
1962   	  08    	  02	3
1962   	  08    	  03	7
1962   	  08    	  04	9
1962   	  08    	  05	8
1962   	  08    	  06	6
1962   	  08    	  07	9
1962   	  08    	  08	8
1962   	  08    	  09	8
1962   	  08    	  10	3
1962   	  08    	  11	3
1962   	  08    	  12	6
1962   	  08    	  13	6
1962   	  08    	  14	8
1962   	  08    	  15	23
1962   	  08    	  16	12
1962   	  08    	  17	12
1962   	  08    	  18	13
1962   	  08    	  19	14
1962   	  08    	  20	21
1962   	  08    	  21	10
1962   	  08    	  22	6
1962   	  08    	  23	8
1962   	  08    	  24	9
1962   	  08    	  25	6
1962   	  08    	  26	1
1962   	  08    	  27	6
1962   	  08    	  28	7
1962   	  08    	  29	8
1962   	  08    	  30	7
