%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 7 okt 2008.
%
%Bron:
%Overschrijdingsfrequentie OF volgens Hydra-M HR2006 ("Of_mptop.dmm").
%Dagenlijnen volgens Hydra-M HR2006 ("Of_mpdag.dmm").
%
% NB: aan het eind van het bestand geen monotone afname OF en OD meer, door te kleine getallen.
%
%
%m, m+NAP     OF, 1/whjaar	       OD, dag/whjaar        Dwest, dag/whjaar     ODoost, dag/whjaar
-0.40            6.1408041309          92.2420383215         53.1314140732         39.2951083250
0.34		 0.0028545408	        0.0035678788          0.0020550982          0.0015199164
0.35		 0.0025733562	        0.0031101509          0.0017914469          0.0013249243
0.36		 0.0023198696	        0.0027111455          0.0015616198          0.0011549480
0.37		 0.0020913525	        0.0023633291          0.0013612776          0.0010067782
0.38		 0.0018853453	        0.0020601345          0.0011866374          0.0008776173
0.39		 0.0016996307	        0.0017958371          0.0010344022          0.0007650266
0.40		 0.0015322098	        0.0015654468          0.0009016973          0.0006668803
0.41		 0.0013812805	        0.0013646135          0.0007860174          0.0005813254
0.42		 0.0012452185	        0.0011895454          0.0006851782          0.0005067464
0.43		 0.0011225591	        0.0010369371          0.0005972758          0.0004417352
0.44		 0.0010119822	        0.0009039070          0.0005206505          0.0003850644
0.45		 0.0009122976	        0.0007879436          0.0004538555          0.0003356640
0.46		 0.0008224324	        0.0006868573          0.0003956298          0.0002926012
0.47		 0.0007414193	        0.0005987395          0.0003448739          0.0002550630
0.48		 0.0006683863	        0.0005219264          0.0003006296          0.0002223406
0.49		 0.0006025474	        0.0004549677          0.0002620614          0.0001938163
0.50		 0.0005431939	        0.0003965993          0.0002284412          0.0001689513
0.51		 0.0004896869	        0.0003457191          0.0001991342          0.0001472763
0.52		 0.0004414507	        0.0003013663          0.0001735870          0.0001283821
0.53		 0.0003979659	        0.0002627036          0.0001513173          0.0001119117
0.54		 0.0003587645	        0.0002290010          0.0001319046          0.0000975544
0.55		 0.0003234247	        0.0001996222          0.0001149824          0.0000850391
0.56		 0.0002915660	        0.0001740124          0.0001002311          0.0000741293
0.57		 0.0002628455	        0.0001516881          0.0000873724          0.0000646191
0.58		 0.0002369541	        0.0001322278          0.0000761632          0.0000563291
0.59		 0.0002136131	        0.0001152642          0.0000663922          0.0000491025
0.60		 0.0001925713	        0.0001004768          0.0000578746          0.0000428031
0.61		 0.0001736022	        0.0000875865          0.0000504498          0.0000373118
0.62		 0.0001565016	        0.0000782508          0.0000450725          0.0000333348
0.63		 0.0001410855	        0.0000705428          0.0000406326          0.0000300512
0.64		 0.0001271880	        0.0000635940          0.0000366301          0.0000270910
0.65		 0.0001146594	        0.0000573297          0.0000330219          0.0000244225
0.66		 0.0001033650	        0.0000516825          0.0000297691          0.0000220167
0.67		 0.0000931831	        0.0000465915          0.0000268367          0.0000198480
0.68		 0.0000840042	        0.0000420021          0.0000241932          0.0000178929
0.69		 0.0000757294	        0.0000378647          0.0000218101          0.0000161304
0.70		 0.0000682697	        0.0000341349          0.0000196617          0.0000145414
0.71		 0.0000615449	        0.0000307724          0.0000177249          0.0000131091
0.72		 0.0000554824	        0.0000277412          0.0000159789          0.0000118178
0.73		 0.0000500172	        0.0000250086          0.0000144049          0.0000106537
0.74		 0.0000450903	        0.0000225451          0.0000129860          0.0000096042
0.75		 0.0000406487	        0.0000203243          0.0000117068          0.0000086582
0.76		 0.0000366446	        0.0000183223          0.0000105536          0.0000078053
0.77		 0.0000330350	        0.0000165175          0.0000095141          0.0000070364
0.78		 0.0000297809	        0.0000148904          0.0000085769          0.0000063433
0.79		 0.0000268473	        0.0000134237          0.0000077320          0.0000057185
