%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 18 jan 2006.
%
%Bron:
%Overschrijdingsfrequentie OF uit bijlage 8 van [Blaakman et al, 1999].
%Dagenlijnen (omni, west en oost) uit bijlage 9 van [Blaakman et al, 1999].
%
%[Blaakman et al, 1999]:
%Achtergronden Hydraulische Belastingen Dijken IJsselmeergebied. 
%Deelrapport 2: Meerpeilstatistiek. E.J. Blaakman, H. Buiteveld, H.C. van Twuiver,
%A. van Agthoven. RIZA rapport 99.039. RIZA Lelystad, 25 maart 1999.
%
%
%m, m+NAP     OF, 1/whjaar		 OD, dag/whjaar           ODwest, dag/whjaar    ODoost, dag/whjaar
-0.40        6.3289473750        181.9183140049			  131.5766395080		50.3416744969
0.40		 0.0320799710		 0.0199386927			  0.0177679478			0.0021707449
0.41		 0.0293302100		 0.0178554190			  0.0159360646			0.0019193545
0.42		 0.0268032400		 0.0160141640			  0.0143145327			0.0016996313
0.43		 0.0244834000		 0.0143827221			  0.0128756055			0.0015071166
0.44		 0.0223557780		 0.0129338560			  0.0115957709			0.0013380852
0.45		 0.0204062220		 0.0116444286			  0.0104550685			0.0011893601
0.46		 0.0186213430		 0.0104946986			  0.0094364291			0.0010582696
0.47		 0.0169885180		 0.0094677518			  0.0085252156			0.0009425362
0.48		 0.0154958750		 0.0085490311			  0.0077088303			0.0008402007
0.49		 0.0141322830		 0.0077259582			  0.0069763658			0.0007495924
0.50		 0.0128873330		 0.0069876211			  0.0063183475			0.0006692736
0.51		 0.0117513150		 0.0063245172			  0.0057265291			0.0005979881
0.52		 0.0107151930		 0.0057283422			  0.0051936772			0.0005346649
0.53		 0.0097705800		 0.0051918160			  0.0047134637			0.0004783523
0.54		 0.0089097050		 0.0047085360			  0.0042802981			0.0004282379
0.55		 0.0081253840		 0.0042728557			  0.0038892546			0.0003836011
0.56		 0.0074109890		 0.0038797836			  0.0035359689			0.0003438147
0.57		 0.0067604160		 0.0035248971			  0.0032165701			0.0003083270
0.58		 0.0061680490		 0.0032042673			  0.0029276137			0.0002766537
0.59		 0.0056287370		 0.0029144019			  0.0026660369			0.0002483650
0.60		 0.0051377540		 0.0026521870			  0.0024291010			0.0002230860
0.61		 0.0046907770		 0.0024148459			  0.0022143620			0.0002004840
0.62		 0.0042838510		 0.0021998967			  0.0020196338			0.0001802629
0.63		 0.0039133640		 0.0020051192			  0.0018429565			0.0001621628
0.64		 0.0035760200		 0.0018285256			  0.0016825730			0.0001459525
0.65		 0.0032688170		 0.0016683351			  0.0015369068			0.0001314283
0.66		 0.0029890170		 0.0015229489			  0.0014045415			0.0001184074
0.67		 0.0027341290		 0.0013909321			  0.0012842033			0.0001067288
0.68		 0.0025018880		 0.0012709960			  0.0011747477			0.0000962483
0.69		 0.0022902340		 0.0011619819			  0.0010751420			0.0000868398
0.70		 0.0020972930		 0.0010628463			  0.0009844575			0.0000783889
0.71		 0.0019213650		 0.0009726515			  0.0009018574			0.0000707941
0.72		 0.0017609050		 0.0008905521			  0.0008265859			0.0000639662
0.73		 0.0016145080		 0.0008157855			  0.0007579606			0.0000578249
0.74		 0.0014809020		 0.0007476656			  0.0006953684			0.0000522972
0.75		 0.0013589290		 0.0006855721			  0.0006382503			0.0000473218
0.76		 0.0012475390		 0.0006289455			  0.0005861056			0.0000428399
0.77		 0.0011457790		 0.0005772807			  0.0005384795			0.0000388012
0.78		 0.0010527820		 0.0005301203			  0.0004949603			0.0000351600
0.79		 0.0009677630		 0.0004870520			  0.0004551763			0.0000318758
0.80		 0.0008900090		 0.0004477028			  0.0004187907			0.0000289121
