LocationID; CalculationTypeID; Min; Max
1800001; 0;    2;    4
1800001; 1;   10;   50
1800001; 2;    1;    4
1800001; 5;    2;    4
1800002; 0;    2;    4
1800002; 1;   10;   50
1800002; 2;    1;    4
1800002; 5;    2;    4
1800003; 0;    2;    4
1800003; 1;   10;   50
1800003; 2;    1;    4
1800003; 5;    2;    4
1800004; 0;    2;    4
1800004; 1;   10;   50
1800004; 2;    1;    4
1800004; 5;    2;    4
1800005; 0;    2;    4
1800005; 1;   10;   50
1800005; 2;    1;    4
1800005; 5;    2;    4
1800006; 0;    2;    4
1800006; 1;   10;   50
1800006; 2;    1;    4
1800006; 5;    2;    4
1800007; 0;    2;    4
1800007; 1;   10;   50
1800007; 2;    1;    4
1800007; 5;    2;    4
1800008; 0;    2;    4
1800008; 1;   10;   50
1800008; 2;    1;    4
1800008; 5;    2;    4
1800009; 0;    2;    4
1800009; 1;   10;   50
1800009; 2;    1;    4
1800009; 5;    2;    4
1800010; 0;    2;    4
1800010; 1;   10;   50
1800010; 2;    1;    4
1800010; 5;    2;    4
1800011; 0;    2;    4
1800011; 1;   10;   50
1800011; 2;    1;    4
1800011; 5;    2;    4
1800012; 0;    2;    4
1800012; 1;   10;   50
1800012; 2;    1;    4
1800012; 5;    2;    4
1800013; 0;    2;    4
1800013; 1;   10;   50
1800013; 2;    1;    4
1800013; 5;    2;    4
1800014; 0;    2;    4
1800014; 1;   10;   50
1800014; 2;    1;    4
1800014; 5;    2;    4
1800015; 0;    2;    4
1800015; 1;   10;   50
1800015; 2;    1;    4
1800015; 5;    2;    4
1800016; 0;    2;    4
1800016; 1;   10;   50
1800016; 2;    1;    4
1800016; 5;    2;    4
1800017; 0;    2;    4
1800017; 1;   10;   50
1800017; 2;    1;    4
1800017; 5;    2;    4
1800018; 0;    2;    4
1800018; 1;   10;   50
1800018; 2;    1;    4
1800018; 5;    2;    4
1800019; 0;    2;    4
1800019; 1;   10;   50
1800019; 2;    1;    4
1800019; 5;    2;    4
1800020; 0;    2;    4
1800020; 1;   10;   50
1800020; 2;    1;    4
1800020; 5;    2;    4
1800021; 0;    2;    4
1800021; 1;   10;   50
1800021; 2;    1;    4
1800021; 5;    2;    4
1800022; 0;    2;    4
1800022; 1;   10;   50
1800022; 2;    1;    4
1800022; 5;    2;    4
1800023; 0;    2;    4
1800023; 1;   10;   50
1800023; 2;    1;    4
1800023; 5;    2;    4
1800024; 0;    2;    4
1800024; 1;   10;   50
1800024; 2;    1;    4
1800024; 5;    2;    4
1800025; 0;    2;    4
1800025; 1;   10;   50
1800025; 2;    1;    4
1800025; 5;    2;    4
1800026; 0;    2;    4
1800026; 1;   10;   50
1800026; 2;    1;    4
1800026; 5;    2;    4
1800027; 0;    2;    4
1800027; 1;   10;   50
1800027; 2;    1;    4
1800027; 5;    2;    4
1800028; 0;    2;    4
1800028; 1;   10;   50
1800028; 2;    1;    4
1800028; 5;    2;    4
1800029; 0;    2;    4
1800029; 1;   10;   50
1800029; 2;    1;    4
1800029; 5;    2;    4
1800030; 0;    2;    4
1800030; 1;   10;   50
1800030; 2;    1;    4
1800030; 5;    2;    4
1800031; 0;    2;    4
1800031; 1;   10;   50
1800031; 2;    1;    4
1800031; 5;    2;    4
1800032; 0;    2;    4
1800032; 1;   10;   50
1800032; 2;    1;    4
1800032; 5;    2;    4
1800033; 0;    2;    4
1800033; 1;   10;   50
1800033; 2;    1;    4
1800033; 5;    2;    4
1800034; 0;    2;    4
1800034; 1;   10;   50
1800034; 2;    1;    4
1800034; 5;    2;    4
1800035; 0;    2;    4
1800035; 1;   10;   50
1800035; 2;    1;    4
1800035; 5;    2;    4
1800036; 0;    2;    4
1800036; 1;   10;   50
1800036; 2;    1;    4
1800036; 5;    2;    4
1800037; 0;    2;    4
1800037; 1;   10;   50
1800037; 2;    1;    4
1800037; 5;    2;    4
1800038; 0;    2;    4
1800038; 1;   10;   50
1800038; 2;    1;    4
1800038; 5;    2;    4
1800039; 0;    2;    4
1800039; 1;   10;   50
1800039; 2;    1;    4
1800039; 5;    2;    4
1800040; 0;    2;    4
1800040; 1;   10;   50
1800040; 2;    1;    4
1800040; 5;    2;    4
1800041; 0;    2;    4
1800041; 1;   10;   50
1800041; 2;    1;    4
1800041; 5;    2;    4
1800042; 0;    2;    4
1800042; 1;   10;   50
1800042; 2;    1;    4
1800042; 5;    2;    4
1800043; 0;    2;    4
1800043; 1;   10;   50
1800043; 2;    1;    4
1800043; 5;    2;    4
1800044; 0;    2;    4
1800044; 1;   10;   50
1800044; 2;    1;    4
1800044; 5;    2;    4
1800045; 0;    2;    4
1800045; 1;   10;   50
1800045; 2;    1;    4
1800045; 5;    2;    4
1800046; 0;    2;    4
1800046; 1;   10;   50
1800046; 2;    1;    4
