LocationID; CalculationTypeID; Min; Max
1700001; 0;    2;    4
1700001; 1;   10;   50
1700001; 2;    1;    4
1700001; 5;    2;    4
1700002; 0;    2;    4
1700002; 1;   10;   50
1700002; 2;    1;    4
1700002; 5;    2;    4
1700003; 0;    2;    4
1700003; 1;   10;   50
1700003; 2;    1;    4
1700003; 5;    2;    4
1700004; 0;    2;    4
1700004; 1;   10;   50
1700004; 2;    1;    4
1700004; 5;    2;    4
1700005; 0;    2;    4
1700005; 1;   10;   50
1700005; 2;    1;    4
1700005; 5;    2;    4
1700006; 0;    2;    4
1700006; 1;   10;   50
1700006; 2;    1;    4
1700006; 5;    2;    4
1700007; 0;    2;    4
1700007; 1;   10;   50
1700007; 2;    1;    4
1700007; 5;    2;    4
1700008; 0;    2;    4
1700008; 1;   10;   50
1700008; 2;    1;    4
1700008; 5;    2;    4
1700009; 0;    2;    4
1700009; 1;   10;   50
1700009; 2;    1;    4
1700009; 5;    2;    4
1700010; 0;    2;    4
1700010; 1;   10;   50
1700010; 2;    1;    4
1700010; 5;    2;    4
1700011; 0;    2;    4
1700011; 1;   10;   50
1700011; 2;    1;    4
1700011; 5;    2;    4
1700012; 0;    2;    4
1700012; 1;   10;   50
1700012; 2;    1;    4
1700012; 5;    2;    4
1700013; 0;    2;    4
1700013; 1;   10;   50
1700013; 2;    1;    4
1700013; 5;    2;    4
1700014; 0;    2;    4
1700014; 1;   10;   50
1700014; 2;    1;    4
1700014; 5;    2;    4
1700015; 0;    2;    4
1700015; 1;   10;   50
1700015; 2;    1;    4
1700015; 5;    2;    4
1700016; 0;    2;    4
1700016; 1;   10;   50
1700016; 2;    1;    4
1700016; 5;    2;    4
1700017; 0;    2;    4
1700017; 1;   10;   50
1700017; 2;    1;    4
1700017; 5;    2;    4
1700018; 0;    2;    4
1700018; 1;   10;   50
1700018; 2;    1;    4
1700018; 5;    2;    4
1700019; 0;    2;    4
1700019; 1;   10;   50
1700019; 2;    1;    4
1700019; 5;    2;    4
