LocationID; CalculationTypeID; TimeIntegrationSchemeID
1200001; 0; 1
1200001; 1; 1
1200001; 2; 1
1200001; 3; 1
1200001; 4; 1
1200001; 5; 1
1200001; 6; 1
1200001; 7; 1
1200001; 8; 1
1200001; 9; 1
1200002; 0; 1
1200002; 1; 1
1200002; 2; 1
1200002; 3; 1
1200002; 4; 1
1200002; 5; 1
1200002; 6; 1
1200002; 7; 1
1200002; 8; 1
1200002; 9; 1
1200003; 0; 1
1200003; 1; 1
1200003; 2; 1
1200003; 3; 1
1200003; 4; 1
1200003; 5; 1
1200003; 6; 1
1200003; 7; 1
1200003; 8; 1
1200003; 9; 1
1200004; 0; 1
1200004; 1; 1
1200004; 2; 1
1200004; 3; 1
1200004; 4; 1
1200004; 5; 1
1200004; 6; 1
1200004; 7; 1
1200004; 8; 1
1200004; 9; 1
1200005; 0; 1
1200005; 1; 1
1200005; 2; 1
1200005; 3; 1
1200005; 4; 1
1200005; 5; 1
1200005; 6; 1
1200005; 7; 1
1200005; 8; 1
1200005; 9; 1
1200006; 0; 1
1200006; 1; 1
1200006; 2; 1
1200006; 3; 1
1200006; 4; 1
1200006; 5; 1
1200006; 6; 1
1200006; 7; 1
1200006; 8; 1
1200006; 9; 1
1200007; 0; 1
1200007; 1; 1
1200007; 2; 1
1200007; 3; 1
1200007; 4; 1
1200007; 5; 1
1200007; 6; 1
1200007; 7; 1
1200007; 8; 1
1200007; 9; 1
1200008; 0; 1
1200008; 1; 1
1200008; 2; 1
1200008; 3; 1
1200008; 4; 1
1200008; 5; 1
1200008; 6; 1
1200008; 7; 1
1200008; 8; 1
1200008; 9; 1
1200009; 0; 1
1200009; 1; 1
1200009; 2; 1
1200009; 3; 1
1200009; 4; 1
1200009; 5; 1
1200009; 6; 1
1200009; 7; 1
1200009; 8; 1
1200009; 9; 1
1200010; 0; 1
1200010; 1; 1
1200010; 2; 1
1200010; 3; 1
1200010; 4; 1
1200010; 5; 1
1200010; 6; 1
1200010; 7; 1
1200010; 8; 1
1200010; 9; 1
1200011; 0; 1
1200011; 1; 1
