LocationID; CalculationTypeID; TimeIntegrationSchemeID
1700001; 0; 1
1700001; 1; 1
1700001; 2; 1
1700001; 3; 1
1700001; 4; 1
1700001; 5; 1
1700001; 6; 1
1700001; 7; 1
1700001; 8; 1
1700001; 9; 1
1700002; 0; 1
1700002; 1; 1
1700002; 2; 1
1700002; 3; 1
1700002; 4; 1
1700002; 5; 1
1700002; 6; 1
1700002; 7; 1
1700002; 8; 1
1700002; 9; 1
1700003; 0; 1
1700003; 1; 1
1700003; 2; 1
1700003; 3; 1
1700003; 4; 1
1700003; 5; 1
1700003; 6; 1
1700003; 7; 1
1700003; 8; 1
1700003; 9; 1
1700004; 0; 1
1700004; 1; 1
1700004; 2; 1
1700004; 3; 1
1700004; 4; 1
1700004; 5; 1
1700004; 6; 1
1700004; 7; 1
1700004; 8; 1
1700004; 9; 1
1700005; 0; 1
1700005; 1; 1
1700005; 2; 1
1700005; 3; 1
1700005; 4; 1
1700005; 5; 1
1700005; 6; 1
1700005; 7; 1
1700005; 8; 1
1700005; 9; 1
1700006; 0; 1
1700006; 1; 1
1700006; 2; 1
1700006; 3; 1
1700006; 4; 1
1700006; 5; 1
1700006; 6; 1
1700006; 7; 1
1700006; 8; 1
1700006; 9; 1
1700007; 0; 1
1700007; 1; 1
1700007; 2; 1
1700007; 3; 1
1700007; 4; 1
1700007; 5; 1
1700007; 6; 1
1700007; 7; 1
1700007; 8; 1
1700007; 9; 1
1700008; 0; 1
1700008; 1; 1
1700008; 2; 1
1700008; 3; 1
1700008; 4; 1
1700008; 5; 1
1700008; 6; 1
1700008; 7; 1
1700008; 8; 1
1700008; 9; 1
1700009; 0; 1
1700009; 1; 1
1700009; 2; 1
1700009; 3; 1
1700009; 4; 1
1700009; 5; 1
1700009; 6; 1
1700009; 7; 1
1700009; 8; 1
1700009; 9; 1
1700010; 0; 1
1700010; 1; 1
1700010; 2; 1
1700010; 3; 1
1700010; 4; 1
1700010; 5; 1
1700010; 6; 1
1700010; 7; 1
1700010; 8; 1
1700010; 9; 1
1700011; 0; 1
1700011; 1; 1
1700011; 2; 1
1700011; 3; 1
1700011; 4; 1
1700011; 5; 1
1700011; 6; 1
1700011; 7; 1
1700011; 8; 1
1700011; 9; 1
1700012; 0; 1
1700012; 1; 1
1700012; 2; 1
1700012; 3; 1
1700012; 4; 1
1700012; 5; 1
1700012; 6; 1
1700012; 7; 1
1700012; 8; 1
1700012; 9; 1
1700013; 0; 1
1700013; 1; 1
1700013; 2; 1
1700013; 3; 1
1700013; 4; 1
1700013; 5; 1
1700013; 6; 1
1700013; 7; 1
1700013; 8; 1
1700013; 9; 1
1700014; 0; 1
1700014; 1; 1
1700014; 2; 1
1700014; 3; 1
1700014; 4; 1
1700014; 5; 1
1700014; 6; 1
1700014; 7; 1
1700014; 8; 1
1700014; 9; 1
1700015; 0; 1
1700015; 1; 1
1700015; 2; 1
1700015; 3; 1
1700015; 4; 1
1700015; 5; 1
1700015; 6; 1
1700015; 7; 1
1700015; 8; 1
1700015; 9; 1
1700016; 0; 1
1700016; 1; 1
1700016; 2; 1
1700016; 3; 1
1700016; 4; 1
1700016; 5; 1
1700016; 6; 1
1700016; 7; 1
1700016; 8; 1
1700016; 9; 1
1700017; 0; 1
1700017; 1; 1
1700017; 2; 1
1700017; 3; 1
1700017; 4; 1
1700017; 5; 1
1700017; 6; 1
1700017; 7; 1
1700017; 8; 1
1700017; 9; 1
1700018; 0; 1
1700018; 1; 1
1700018; 2; 1
1700018; 3; 1
1700018; 4; 1
1700018; 5; 1
1700018; 6; 1
1700018; 7; 1
1700018; 8; 1
1700018; 9; 1
1700019; 0; 1
1700019; 1; 1
1700019; 2; 1
1700019; 3; 1
1700019; 4; 1
1700019; 5; 1
1700019; 6; 1
1700019; 7; 1
1700019; 8; 1
1700019; 9; 1
1700020; 0; 1
1700020; 1; 1
1700020; 2; 1
1700020; 3; 1
1700020; 4; 1
1700020; 5; 1
1700020; 6; 1
1700020; 7; 1
1700020; 8; 1
1700020; 9; 1
1700021; 0; 1
1700021; 1; 1
1700021; 2; 1
1700021; 3; 1
1700021; 4; 1
1700021; 5; 1
1700021; 6; 1
1700021; 7; 1
1700021; 8; 1
1700021; 9; 1
1700022; 0; 1
1700022; 1; 1
1700022; 2; 1
1700022; 3; 1
1700022; 4; 1
1700022; 5; 1
1700022; 6; 1
1700022; 7; 1
1700022; 8; 1
1700022; 9; 1
1700023; 0; 1
1700023; 1; 1
1700023; 2; 1
1700023; 3; 1
1700023; 4; 1
1700023; 5; 1
1700023; 6; 1
1700023; 7; 1
1700023; 8; 1
1700023; 9; 1
1700024; 0; 1
1700024; 1; 1
1700024; 2; 1
1700024; 3; 1
1700024; 4; 1
1700024; 5; 1
1700024; 6; 1
1700024; 7; 1
1700024; 8; 1
1700024; 9; 1
1700025; 0; 1
1700025; 1; 1
1700025; 2; 1
1700025; 3; 1
1700025; 4; 1
1700025; 5; 1
1700025; 6; 1
1700025; 7; 1
1700025; 8; 1
1700025; 9; 1
1700026; 0; 1
1700026; 1; 1
1700026; 2; 1
1700026; 3; 1
1700026; 4; 1
1700026; 5; 1
1700026; 6; 1
1700026; 7; 1
1700026; 8; 1
1700026; 9; 1
1700027; 0; 1
1700027; 1; 1
1700027; 2; 1
1700027; 3; 1
1700027; 4; 1
1700027; 5; 1
1700027; 6; 1
1700027; 7; 1
1700027; 8; 1
1700027; 9; 1
1700028; 0; 1
1700028; 1; 1
1700028; 2; 1
1700028; 3; 1
1700028; 4; 1
1700028; 5; 1
1700028; 6; 1
1700028; 7; 1
1700028; 8; 1
1700028; 9; 1
1700029; 0; 1
1700029; 1; 1
1700029; 2; 1
1700029; 3; 1
1700029; 4; 1
1700029; 5; 1
1700029; 6; 1
1700029; 7; 1
1700029; 8; 1
1700029; 9; 1
1700030; 0; 1
1700030; 1; 1
1700030; 2; 1
1700030; 3; 1
1700030; 4; 1
1700030; 5; 1
1700030; 6; 1
1700030; 7; 1
1700030; 8; 1
1700030; 9; 1
1700031; 0; 1
1700031; 1; 1
1700031; 2; 1
1700031; 3; 1
1700031; 4; 1
1700031; 5; 1
1700031; 6; 1
1700031; 7; 1
1700031; 8; 1
1700031; 9; 1
1700032; 0; 1
1700032; 1; 1
1700032; 2; 1
1700032; 3; 1
1700032; 4; 1
1700032; 5; 1
