LocationID; CalculationTypeID; Min; Max
100008; 0;    2;    4
100008; 1;   10;   50
100008; 2;    1;    4
100008; 5;    2;    4
100009; 0;    2;    4
100009; 1;   10;   50
100009; 2;    1;    4
100009; 5;    2;    4
100010; 0;    2;    4
100010; 1;   10;   50
100010; 2;    1;    4
100010; 5;    2;    4
100011; 0;    2;    4
100011; 1;   10;   50
100011; 2;    1;    4
100011; 5;    2;    4
100012; 0;    2;    4
100012; 1;   10;   50
100012; 2;    1;    4
100012; 5;    2;    4
100013; 0;    2;    4
100013; 1;   10;   50
100013; 2;    1;    4
100013; 5;    2;    4
100014; 0;    2;    4
100014; 1;   10;   50
100014; 2;    1;    4
100014; 5;    2;    4
100015; 0;    2;    4
100015; 1;   10;   50
100015; 2;    1;    4
100015; 5;    2;    4
100016; 0;    2;    4
100016; 1;   10;   50
100016; 2;    1;    4
100016; 5;    2;    4
100017; 0;    2;    4
100017; 1;   10;   50
100017; 2;    1;    4
100017; 5;    2;    4
100018; 0;    2;    4
100018; 1;   10;   50
100018; 2;    1;    4
100018; 5;    2;    4
100019; 0;    2;    4
100019; 1;   10;   50
100019; 2;    1;    4
100019; 5;    2;    4
100020; 0;    2;    4
100020; 1;   10;   50
100020; 2;    1;    4
100020; 5;    2;    4
100021; 0;    2;    4
100021; 1;   10;   50
100021; 2;    1;    4
100021; 5;    2;    4
100022; 0;    2;    4
100022; 1;   10;   50
100022; 2;    1;    4
100022; 5;    2;    4
100023; 0;    2;    4
100023; 1;   10;   50
100023; 2;    1;    4
100023; 5;    2;    4
100024; 0;    2;    4
100024; 1;   10;   50
100024; 2;    1;    4
100024; 5;    2;    4
100025; 0;    2;    4
100025; 1;   10;   50
100025; 2;    1;    4
100025; 5;    2;    4
100026; 0;    2;    4
100026; 1;   10;   50
100026; 2;    1;    4
100026; 5;    2;    4
100027; 0;    2;    4
100027; 1;   10;   50
100027; 2;    1;    4
100027; 5;    2;    4
100028; 0;    2;    4
100028; 1;   10;   50
100028; 2;    1;    4
100028; 5;    2;    4
100029; 0;    2;    4
100029; 1;   10;   50
100029; 2;    1;    4
100029; 5;    2;    4
100030; 0;    2;    4
100030; 1;   10;   50
100030; 2;    1;    4
100030; 5;    2;    4
100031; 0;    2;    4
100031; 1;   10;   50
100031; 2;    1;    4
100031; 5;    2;    4
100032; 0;    2;    4
100032; 1;   10;   50
100032; 2;    1;    4
100032; 5;    2;    4
100033; 0;    2;    4
100033; 1;   10;   50
100033; 2;    1;    4
100033; 5;    2;    4
100034; 0;    2;    4
100034; 1;   10;   50
100034; 2;    1;    4
100034; 5;    2;    4
100035; 0;    2;    4
100035; 1;   10;   50
100035; 2;    1;    4
100035; 5;    2;    4
100036; 0;    2;    4
100036; 1;   10;   50
100036; 2;    1;    4
100036; 5;    2;    4
100037; 0;    2;    4
100037; 1;   10;   50
100037; 2;    1;    4
100037; 5;    2;    4
100038; 0;    2;    4
100038; 1;   10;   50
100038; 2;    1;    4
100038; 5;    2;    4
100039; 0;    2;    4
100039; 1;   10;   50
100039; 2;    1;    4
100039; 5;    2;    4
100040; 0;    2;    4
100040; 1;   10;   50
100040; 2;    1;    4
100040; 5;    2;    4
100041; 0;    2;    4
100041; 1;   10;   50
100041; 2;    1;    4
100041; 5;    2;    4
100042; 0;    2;    4
100042; 1;   10;   50
100042; 2;    1;    4
100042; 5;    2;    4
100043; 0;    2;    4
100043; 1;   10;   50
100043; 2;    1;    4
100043; 5;    2;    4
100044; 0;    2;    4
100044; 1;   10;   50
100044; 2;    1;    4
100044; 5;    2;    4
100045; 0;    2;    4
100045; 1;   10;   50
100045; 2;    1;    4
100045; 5;    2;    4
100046; 0;    2;    4
100046; 1;   10;   50
100046; 2;    1;    4
100046; 5;    2;    4
100047; 0;    2;    4
100047; 1;   10;   50
100047; 2;    1;    4
100047; 5;    2;    4
100048; 0;    2;    4
100048; 1;   10;   50
100048; 2;    1;    4
100048; 5;    2;    4
100049; 0;    2;    4
100049; 1;   10;   50
100049; 2;    1;    4
100049; 5;    2;    4
100050; 0;    2;    4
100050; 1;   10;   50
100050; 2;    1;    4
100050; 5;    2;    4
100051; 0;    2;    4
100051; 1;   10;   50
100051; 2;    1;    4
100051; 5;    2;    4
100052; 0;    2;    4
100052; 1;   10;   50
100052; 2;    1;    4
100052; 5;    2;    4
100053; 0;    2;    4
100053; 1;   10;   50
100053; 2;    1;    4
100053; 5;    2;    4
100054; 0;    2;    4
100054; 1;   10;   50
100054; 2;    1;    4
100054; 5;    2;    4
100055; 0;    2;    4
100055; 1;   10;   50
100055; 2;    1;    4
100055; 5;    2;    4
100056; 0;    2;    4
100056; 1;   10;   50
100056; 2;    1;    4
100056; 5;    2;    4
100057; 0;    2;    4
100057; 1;   10;   50
100057; 2;    1;    4
100057; 5;    2;    4
100058; 0;    2;    4
100058; 1;   10;   50
100058; 2;    1;    4
100058; 5;    2;    4
100059; 0;    2;    4
100059; 1;   10;   50
100059; 2;    1;    4
100059; 5;    2;    4
100060; 0;    2;    4
100060; 1;   10;   50
100060; 2;    1;    4
100060; 5;    2;    4
100061; 0;    2;    4
100061; 1;   10;   50
100061; 2;    1;    4
100061; 5;    2;    4
100062; 0;    2;    4
100062; 1;   10;   50
100062; 2;    1;    4
100062; 5;    2;    4
100063; 0;    2;    4
100063; 1;   10;   50
100063; 2;    1;    4
100063; 5;    2;    4
100064; 0;    2;    4
100064; 1;   10;   50
100064; 2;    1;    4
100064; 5;    2;    4
100065; 0;    2;    4
100065; 1;   10;   50
100065; 2;    1;    4
100065; 5;    2;    4
100066; 0;    2;    4
100066; 1;   10;   50
100066; 2;    1;    4
100066; 5;    2;    4
100067; 0;    2;    4
100067; 1;   10;   50
100067; 2;    1;    4
100067; 5;    2;    4
100068; 0;    2;    4
100068; 1;   10;   50
100068; 2;    1;    4
100068; 5;    2;    4
100069; 0;    2;    4
100069; 1;   10;   50
100069; 2;    1;    4
100069; 5;    2;    4
100070; 0;    2;    4
100070; 1;   10;   50
100070; 2;    1;    4
100070; 5;    2;    4
100071; 0;    2;    4
100071; 1;   10;   50
100071; 2;    1;    4
100071; 5;    2;    4
100072; 0;    2;    4
100072; 1;   10;   50
100072; 2;    1;    4
100072; 5;    2;    4
100073; 0;    2;    4
100073; 1;   10;   50
100073; 2;    1;    4
100073; 5;    2;    4
100074; 0;    2;    4
100074; 1;   10;   50
100074; 2;    1;    4
100074; 5;    2;    4
100075; 0;    2;    4
100075; 1;   10;   50
100075; 2;    1;    4
100075; 5;    2;    4
100076; 0;    2;    4
100076; 1;   10;   50
100076; 2;    1;    4
100076; 5;    2;    4
100077; 0;    2;    4
100077; 1;   10;   50
100077; 2;    1;    4
100077; 5;    2;    4
100078; 0;    2;    4
100078; 1;   10;   50
100078; 2;    1;    4
100078; 5;    2;    4
100079; 0;    2;    4
100079; 1;   10;   50
100079; 2;    1;    4
100079; 5;    2;    4
100080; 0;    2;    4
100080; 1;   10;   50
100080; 2;    1;    4
100080; 5;    2;    4
100081; 0;    2;    4
100081; 1;   10;   50
100081; 2;    1;    4
100081; 5;    2;    4
100082; 0;    2;    4
100082; 1;   10;   50
100082; 2;    1;    4
100082; 5;    2;    4
100083; 0;    2;    4
100083; 1;   10;   50
100083; 2;    1;    4
100083; 5;    2;    4
100084; 0;    2;    4
100084; 1;   10;   50
