LocationID; CalculationTypeID; Min; Max
300001; 0;    2;    4
300001; 1;   10;   50
300001; 2;    1;    4
300001; 5;    2;    4
300002; 0;    2;    4
300002; 1;   10;   50
300002; 2;    1;    4
300002; 5;    2;    4
300003; 0;    2;    4
300003; 1;   10;   50
300003; 2;    1;    4
300003; 5;    2;    4
300004; 0;    2;    4
300004; 1;   10;   50
300004; 2;    1;    4
300004; 5;    2;    4
300005; 0;    2;    4
300005; 1;   10;   50
300005; 2;    1;    4
300005; 5;    2;    4
300006; 0;    2;    4
300006; 1;   10;   50
300006; 2;    1;    4
300006; 5;    2;    4
300007; 0;    2;    4
300007; 1;   10;   50
300007; 2;    1;    4
300007; 5;    2;    4
300008; 0;    2;    4
300008; 1;   10;   50
300008; 2;    1;    4
300008; 5;    2;    4
300009; 0;    2;    4
300009; 1;   10;   50
300009; 2;    1;    4
300009; 5;    2;    4
300010; 0;    2;    4
300010; 1;   10;   50
300010; 2;    1;    4
300010; 5;    2;    4
300011; 0;    2;    4
300011; 1;   10;   50
300011; 2;    1;    4
300011; 5;    2;    4
300012; 0;    2;    4
300012; 1;   10;   50
300012; 2;    1;    4
300012; 5;    2;    4
300013; 0;    2;    4
300013; 1;   10;   50
300013; 2;    1;    4
300013; 5;    2;    4
300014; 0;    2;    4
300014; 1;   10;   50
300014; 2;    1;    4
300014; 5;    2;    4
300015; 0;    2;    4
300015; 1;   10;   50
300015; 2;    1;    4
300015; 5;    2;    4
300016; 0;    2;    4
300016; 1;   10;   50
300016; 2;    1;    4
300016; 5;    2;    4
300017; 0;    2;    4
300017; 1;   10;   50
300017; 2;    1;    4
300017; 5;    2;    4
300018; 0;    2;    4
300018; 1;   10;   50
300018; 2;    1;    4
300018; 5;    2;    4
300019; 0;    2;    4
300019; 1;   10;   50
300019; 2;    1;    4
300019; 5;    2;    4
300020; 0;    2;    4
300020; 1;   10;   50
300020; 2;    1;    4
300020; 5;    2;    4
300021; 0;    2;    4
300021; 1;   10;   50
300021; 2;    1;    4
300021; 5;    2;    4
300022; 0;    2;    4
300022; 1;   10;   50
300022; 2;    1;    4
300022; 5;    2;    4
300023; 0;    2;    4
300023; 1;   10;   50
300023; 2;    1;    4
300023; 5;    2;    4
300024; 0;    2;    4
300024; 1;   10;   50
300024; 2;    1;    4
300024; 5;    2;    4
300025; 0;    2;    4
300025; 1;   10;   50
300025; 2;    1;    4
300025; 5;    2;    4
300026; 0;    2;    4
300026; 1;   10;   50
300026; 2;    1;    4
300026; 5;    2;    4
300027; 0;    2;    4
300027; 1;   10;   50
300027; 2;    1;    4
300027; 5;    2;    4
300028; 0;    2;    4
300028; 1;   10;   50
300028; 2;    1;    4
300028; 5;    2;    4
300029; 0;    2;    4
300029; 1;   10;   50
300029; 2;    1;    4
300029; 5;    2;    4
300030; 0;    2;    4
300030; 1;   10;   50
300030; 2;    1;    4
300030; 5;    2;    4
300031; 0;    2;    4
300031; 1;   10;   50
300031; 2;    1;    4
300031; 5;    2;    4
300032; 0;    2;    4
300032; 1;   10;   50
300032; 2;    1;    4
300032; 5;    2;    4
300033; 0;    2;    4
300033; 1;   10;   50
300033; 2;    1;    4
300033; 5;    2;    4
300034; 0;    2;    4
300034; 1;   10;   50
300034; 2;    1;    4
300034; 5;    2;    4
300035; 0;    2;    4
300035; 1;   10;   50
300035; 2;    1;    4
300035; 5;    2;    4
300036; 0;    2;    4
300036; 1;   10;   50
300036; 2;    1;    4
300036; 5;    2;    4
300037; 0;    2;    4
300037; 1;   10;   50
300037; 2;    1;    4
300037; 5;    2;    4
300038; 0;    2;    4
300038; 1;   10;   50
300038; 2;    1;    4
300038; 5;    2;    4
300039; 0;    2;    4
300039; 1;   10;   50
300039; 2;    1;    4
300039; 5;    2;    4
300040; 0;    2;    4
300040; 1;   10;   50
300040; 2;    1;    4
300040; 5;    2;    4
300041; 0;    2;    4
300041; 1;   10;   50
300041; 2;    1;    4
300041; 5;    2;    4
300042; 0;    2;    4
300042; 1;   10;   50
300042; 2;    1;    4
300042; 5;    2;    4
300043; 0;    2;    4
300043; 1;   10;   50
300043; 2;    1;    4
300043; 5;    2;    4
300044; 0;    2;    4
300044; 1;   10;   50
300044; 2;    1;    4
300044; 5;    2;    4
300045; 0;    2;    4
300045; 1;   10;   50
300045; 2;    1;    4
300045; 5;    2;    4
300046; 0;    2;    4
