LocationID; CalculationTypeID; TimeIntegrationSchemeID
400001; 0; 3
400001; 1; 3
400001; 2; 3
400001; 3; 3
400001; 4; 3
400001; 5; 3
400001; 6; 3
400001; 7; 3
400001; 8; 1
400001; 9; 3
400002; 0; 3
400002; 1; 3
400002; 2; 3
400002; 3; 3
400002; 4; 3
400002; 5; 3
400002; 6; 3
400002; 7; 3
400002; 8; 1
400002; 9; 3
400003; 0; 3
400003; 1; 3
400003; 2; 3
400003; 3; 3
400003; 4; 3
400003; 5; 3
400003; 6; 3
400003; 7; 3
400003; 8; 1
400003; 9; 3
400004; 0; 3
400004; 1; 3
400004; 2; 3
400004; 3; 3
400004; 4; 3
400004; 5; 3
400004; 6; 3
400004; 7; 3
400004; 8; 1
400004; 9; 3
400005; 0; 3
400005; 1; 3
400005; 2; 3
400005; 3; 3
400005; 4; 3
400005; 5; 3
400005; 6; 3
400005; 7; 3
400005; 8; 1
400005; 9; 3
400006; 0; 3
400006; 1; 3
400006; 2; 3
400006; 3; 3
400006; 4; 3
400006; 5; 3
400006; 6; 3
400006; 7; 3
400006; 8; 1
400006; 9; 3
400007; 0; 3
400007; 1; 3
400007; 2; 3
400007; 3; 3
400007; 4; 3
400007; 5; 3
400007; 6; 3
400007; 7; 3
400007; 8; 1
400007; 9; 3
400008; 0; 3
400008; 1; 3
400008; 2; 3
400008; 3; 3
400008; 4; 3
400008; 5; 3
400008; 6; 3
400008; 7; 3
400008; 8; 1
400008; 9; 3
400009; 0; 3
400009; 1; 3
400009; 2; 3
400009; 3; 3
400009; 4; 3
400009; 5; 3
400009; 6; 3
400009; 7; 3
400009; 8; 1
400009; 9; 3
400010; 0; 3
400010; 1; 3
400010; 2; 3
400010; 3; 3
400010; 4; 3
400010; 5; 3
400010; 6; 3
400010; 7; 3
400010; 8; 1
400010; 9; 3
400011; 0; 3
400011; 1; 3
400011; 2; 3
400011; 3; 3
400011; 4; 3
400011; 5; 3
400011; 6; 3
400011; 7; 3
400011; 8; 1
400011; 9; 3
400012; 0; 3
400012; 1; 3
400012; 2; 3
400012; 3; 3
400012; 4; 3
400012; 5; 3
400012; 6; 3
400012; 7; 3
400012; 8; 1
400012; 9; 3
400013; 0; 3
400013; 1; 3
400013; 2; 3
400013; 3; 3
400013; 4; 3
400013; 5; 3
400013; 6; 3
