LocationID; CalculationTypeID; TimeIntegrationSchemeID
1600001; 10; 1
1600002; 10; 1
1600003; 10; 1
1600004; 10; 1
1600005; 10; 1
1600006; 10; 1
1600007; 10; 1
1600008; 10; 1
1600009; 10; 1
1600010; 10; 1
1600011; 10; 1
1600012; 10; 1
1600013; 10; 1
1600014; 10; 1
1600015; 10; 1
1600016; 10; 1
1600017; 10; 1
1600018; 10; 1
1600019; 10; 1
1600020; 10; 1
1600021; 10; 1
1600022; 10; 1
1600023; 10; 1
1600024; 10; 1
1600025; 10; 1
1600026; 10; 1
1600027; 10; 1
1600028; 10; 1
1600029; 10; 1
1600030; 10; 1
1600031; 10; 1
1600032; 10; 1
1600033; 10; 1
1600034; 10; 1
1600035; 10; 1
1600036; 10; 1
1600037; 10; 1
1600038; 10; 1
1600039; 10; 1
1600040; 10; 1
1600041; 10; 1
1600042; 10; 1
1600043; 10; 1
1600044; 10; 1
1600045; 10; 1
1600046; 10; 1
1600047; 10; 1
1600048; 10; 1
1600049; 10; 1
1600050; 10; 1
1600051; 10; 1
1600052; 10; 1
1600053; 10; 1
1600054; 10; 1
1600055; 10; 1
1600056; 10; 1
1600057; 10; 1
1600058; 10; 1
1600059; 10; 1
1600060; 10; 1
1600061; 10; 1
1600062; 10; 1
1600063; 10; 1
1600064; 10; 1
1600065; 10; 1
1600066; 10; 1
1600067; 10; 1
1600068; 10; 1
1600069; 10; 1
1600070; 10; 1
1600071; 10; 1
1600072; 10; 1
1600073; 10; 1
1600074; 10; 1
1600075; 10; 1
1600076; 10; 1
1600077; 10; 1
1600078; 10; 1
1600079; 10; 1
1600080; 10; 1
1600081; 10; 1
1600082; 10; 1
1600083; 10; 1
1600084; 10; 1
1600085; 10; 1
1600086; 10; 1
1600087; 10; 1
1600088; 10; 1
1600089; 10; 1
1600090; 10; 1
1600091; 10; 1
1600092; 10; 1
1600093; 10; 1
1600094; 10; 1
1600095; 10; 1
1600096; 10; 1
1600097; 10; 1
1600098; 10; 1
1600099; 10; 1
1600100; 10; 1
1600101; 10; 1
1600102; 10; 1
1600103; 10; 1
1600104; 10; 1
1600105; 10; 1
1600106; 10; 1
1600107; 10; 1
1600108; 10; 1
1600109; 10; 1
1600110; 10; 1
1600111; 10; 1
1600112; 10; 1
1600113; 10; 1
1600114; 10; 1
1600115; 10; 1
1600116; 10; 1
1600117; 10; 1
1600118; 10; 1
1600119; 10; 1
1600120; 10; 1
1600121; 10; 1
1600122; 10; 1
1600123; 10; 1
1600124; 10; 1
1600125; 10; 1
1600126; 10; 1
1600127; 10; 1
1600128; 10; 1
1600129; 10; 1
1600130; 10; 1
1600131; 10; 1
1600132; 10; 1
1600133; 10; 1
1600134; 10; 1
1600135; 10; 1
1600136; 10; 1
1600137; 10; 1
1600138; 10; 1
1600139; 10; 1
1600140; 10; 1
1600141; 10; 1
1600142; 10; 1
1600143; 10; 1
1600144; 10; 1
1600145; 10; 1
1600146; 10; 1
1600147; 10; 1
1600148; 10; 1
1600149; 10; 1
1600150; 10; 1
1600151; 10; 1
1600152; 10; 1
1600153; 10; 1
1600154; 10; 1
1600155; 10; 1
1600156; 10; 1
1600157; 10; 1
1600158; 10; 1
1600159; 10; 1
1600160; 10; 1
1600161; 10; 1
1600162; 10; 1
1600163; 10; 1
1600164; 10; 1
1600165; 10; 1
1600166; 10; 1
1600167; 10; 1
1600168; 10; 1
1600169; 10; 1
1600170; 10; 1
1600171; 10; 1
1600172; 10; 1
1600173; 10; 1
1600174; 10; 1
1600175; 10; 1
1600176; 10; 1
1600177; 10; 1
1600178; 10; 1
1600179; 10; 1
1600180; 10; 1
1600181; 10; 1
1600182; 10; 1
1600183; 10; 1
1600184; 10; 1
1600185; 10; 1
1600186; 10; 1
1600187; 10; 1
1600188; 10; 1
1600189; 10; 1
1600190; 10; 1
1600191; 10; 1
1600192; 10; 1
1600193; 10; 1
1600194; 10; 1
1600195; 10; 1
1600196; 10; 1
1600197; 10; 1
1600198; 10; 1
1600199; 10; 1
1600200; 10; 1
1600201; 10; 1
1600202; 10; 1
1600203; 10; 1
1600204; 10; 1
1600205; 10; 1
1600206; 10; 1
1600207; 10; 1
1600208; 10; 1
1600209; 10; 1
1600210; 10; 1
1600211; 10; 1
1600212; 10; 1
1600213; 10; 1
1600214; 10; 1
1600215; 10; 1
1600216; 10; 1
1600217; 10; 1
1600218; 10; 1
1600219; 10; 1
1600220; 10; 1
1600221; 10; 1
1600222; 10; 1
1600223; 10; 1
1600224; 10; 1
1600225; 10; 1
1600226; 10; 1
1600227; 10; 1
1600228; 10; 1
1600229; 10; 1
1600230; 10; 1
1600231; 10; 1
1600232; 10; 1
1600233; 10; 1
1600234; 10; 1
1600235; 10; 1
1600236; 10; 1
1600237; 10; 1
1600238; 10; 1
1600239; 10; 1
1600240; 10; 1
1600241; 10; 1
1600242; 10; 1
1600243; 10; 1
1600244; 10; 1
1600245; 10; 1
1600246; 10; 1
1600247; 10; 1
1600248; 10; 1
1600249; 10; 1
1600250; 10; 1
1600251; 10; 1
1600252; 10; 1
1600253; 10; 1
1600254; 10; 1
1600255; 10; 1
1600256; 10; 1
1600257; 10; 1
1600258; 10; 1
1600259; 10; 1
1600260; 10; 1
1600261; 10; 1
1600262; 10; 1
1600263; 10; 1
1600264; 10; 1
1600265; 10; 1
1600266; 10; 1
1600267; 10; 1
1600268; 10; 1
1600269; 10; 1
1600270; 10; 1
1600271; 10; 1
1600272; 10; 1
1600273; 10; 1
1600274; 10; 1
1600275; 10; 1
1600276; 10; 1
1600277; 10; 1
1600278; 10; 1
1600279; 10; 1
1600280; 10; 1
1600281; 10; 1
1600282; 10; 1
1600283; 10; 1
1600284; 10; 1
1600285; 10; 1
1600286; 10; 1
1600287; 10; 1
1600288; 10; 1
1600289; 10; 1
1600290; 10; 1
1600291; 10; 1
1600292; 10; 1
1600293; 10; 1
1600294; 10; 1
1600295; 10; 1
1600296; 10; 1
1600297; 10; 1
1600298; 10; 1
1600299; 10; 1
1600300; 10; 1
1600301; 10; 1
1600302; 10; 1
1600303; 10; 1
1600304; 10; 1
1600305; 10; 1
1600306; 10; 1
1600307; 10; 1
1600308; 10; 1
1600309; 10; 1
1600310; 10; 1
1600311; 10; 1
1600312; 10; 1
1600313; 10; 1
1600314; 10; 1
1600315; 10; 1
1600316; 10; 1
1600317; 10; 1
1600318; 10; 1
1600319; 10; 1
1600320; 10; 1
1600321; 10; 1
1600322; 10; 1
1600323; 10; 1
1600324; 10; 1
1600325; 10; 1
1600326; 10; 1
1600327; 10; 1
1600328; 10; 1
1600329; 10; 1
1600330; 10; 1
1600331; 10; 1
1600332; 10; 1
1600333; 10; 1
1600334; 10; 1
1600335; 10; 1
1600336; 10; 1
1600337; 10; 1
1600338; 10; 1
1600339; 10; 1
1600340; 10; 1
1600341; 10; 1
1600342; 10; 1
1600343; 10; 1
1600344; 10; 1
1600345; 10; 1
1600346; 10; 1
1600347; 10; 1
1600348; 10; 1
1600349; 10; 1
1600350; 10; 1
1600351; 10; 1
1600352; 10; 1
1600353; 10; 1
1600354; 10; 1
1600355; 10; 1
1600356; 10; 1
1600357; 10; 1
1600358; 10; 1
1600359; 10; 1
1600360; 10; 1
1600361; 10; 1
1600362; 10; 1
1600363; 10; 1
1600364; 10; 1
1600365; 10; 1
1600366; 10; 1
1600367; 10; 1
1600368; 10; 1
1600369; 10; 1
1600370; 10; 1
1600371; 10; 1
1600372; 10; 1
1600373; 10; 1
1600374; 10; 1
1600375; 10; 1
1600376; 10; 1
1600377; 10; 1
1600378; 10; 1
1600379; 10; 1
1600380; 10; 1
1600381; 10; 1
1600382; 10; 1
1600383; 10; 1
1600384; 10; 1
1600385; 10; 1
1600386; 10; 1
1600387; 10; 1
1600388; 10; 1
1600389; 10; 1
1600390; 10; 1
1600391; 10; 1
1600392; 10; 1
1600393; 10; 1
1600394; 10; 1
1600395; 10; 1
1600396; 10; 1
1600397; 10; 1
1600398; 10; 1
1600399; 10; 1
1600400; 10; 1
1600401; 10; 1
1600402; 10; 1
1600403; 10; 1
1600404; 10; 1
1600405; 10; 1
1600406; 10; 1
1600407; 10; 1
1600408; 10; 1
1600409; 10; 1
1600410; 10; 1
1600411; 10; 1
1600412; 10; 1
1600413; 10; 1
1600414; 10; 1
1600415; 10; 1
1600416; 10; 1
1600417; 10; 1
1600418; 10; 1
1600419; 10; 1
1600420; 10; 1
1600421; 10; 1
1600422; 10; 1
1600423; 10; 1
1600424; 10; 1
1600425; 10; 1
1600426; 10; 1
1600427; 10; 1
1600428; 10; 1
1600429; 10; 1
1600430; 10; 1
1600431; 10; 1
1600432; 10; 1
1600433; 10; 1
1600434; 10; 1
1600435; 10; 1
1600436; 10; 1
1600437; 10; 1
1600438; 10; 1
1600439; 10; 1
1600440; 10; 1
1600441; 10; 1
1600442; 10; 1
1600443; 10; 1
1600444; 10; 1
1600445; 10; 1
1600446; 10; 1
1600447; 10; 1
1600448; 10; 1
1600449; 10; 1
1600450; 10; 1
1600451; 10; 1
1600452; 10; 1
1600453; 10; 1
1600454; 10; 1
1600455; 10; 1
1600456; 10; 1
1600457; 10; 1
1600458; 10; 1
1600459; 10; 1
1600460; 10; 1
1600461; 10; 1
1600462; 10; 1
1600463; 10; 1
1600464; 10; 1
1600465; 10; 1
1600466; 10; 1
1600467; 10; 1
1600468; 10; 1
1600469; 10; 1
1600470; 10; 1
1600471; 10; 1
1600472; 10; 1
1600473; 10; 1
1600474; 10; 1
1600475; 10; 1
1600476; 10; 1
1600477; 10; 1
1600478; 10; 1
1600479; 10; 1
1600480; 10; 1
1600481; 10; 1
1600482; 10; 1
1600483; 10; 1
1600484; 10; 1
1600485; 10; 1
1600486; 10; 1
1600487; 10; 1
1600488; 10; 1
1600489; 10; 1
1600490; 10; 1
1600491; 10; 1
1600492; 10; 1
1600493; 10; 1
1600494; 10; 1
1600495; 10; 1
1600496; 10; 1
1600497; 10; 1
1600498; 10; 1
1600499; 10; 1
1600500; 10; 1
1600501; 10; 1
1600502; 10; 1
1600503; 10; 1
1600504; 10; 1
1600505; 10; 1
1600506; 10; 1
1600507; 10; 1
1600508; 10; 1
1600509; 10; 1
1600510; 10; 1
1600511; 10; 1
1600512; 10; 1
1600513; 10; 1
1600514; 10; 1
1600515; 10; 1
1600516; 10; 1
1600517; 10; 1
1600518; 10; 1
1600519; 10; 1
1600520; 10; 1
1600521; 10; 1
1600522; 10; 1
1600523; 10; 1
1600524; 10; 1
1600525; 10; 1
1600526; 10; 1
1600527; 10; 1
1600528; 10; 1
1600529; 10; 1
1600530; 10; 1
1600531; 10; 1
1600532; 10; 1
1600533; 10; 1
1600534; 10; 1
1600535; 10; 1
1600536; 10; 1
1600537; 10; 1
1600538; 10; 1
1600539; 10; 1
1600540; 10; 1
1600541; 10; 1
1600542; 10; 1
1600543; 10; 1
1600544; 10; 1
1600545; 10; 1
1600546; 10; 1
1600547; 10; 1
1600548; 10; 1
1600549; 10; 1
1600550; 10; 1
1600551; 10; 1
1600552; 10; 1
1600553; 10; 1
1600554; 10; 1
1600555; 10; 1
1600556; 10; 1
1600557; 10; 1
1600558; 10; 1
1600559; 10; 1
1600560; 10; 1
1600561; 10; 1
1600562; 10; 1
1600563; 10; 1
1600564; 10; 1
1600565; 10; 1
1600566; 10; 1
1600567; 10; 1
1600568; 10; 1
1600569; 10; 1
1600570; 10; 1
1600571; 10; 1
1600572; 10; 1
1600573; 10; 1
1600574; 10; 1
1600575; 10; 1
1600576; 10; 1
1600577; 10; 1
1600578; 10; 1
1600579; 10; 1
1600580; 10; 1
1600581; 10; 1
1600582; 10; 1
1600583; 10; 1
1600584; 10; 1
1600585; 10; 1
1600586; 10; 1
1600587; 10; 1
1600588; 10; 1
1600589; 10; 1
1600590; 10; 1
1600591; 10; 1
1600592; 10; 1
1600593; 10; 1
1600594; 10; 1
1600595; 10; 1
1600596; 10; 1
1600597; 10; 1
1600598; 10; 1
1600599; 10; 1
1600600; 10; 1
1600601; 10; 1
1600602; 10; 1
1600603; 10; 1
1600604; 10; 1
1600605; 10; 1
1600606; 10; 1
