LocationID; CalculationTypeID; Min; Max
700001; 0;    2;    4
700001; 1;   10;   50
700001; 2;    1;    4
700001; 5;    2;    4
700002; 0;    2;    4
700002; 1;   10;   50
700002; 2;    1;    4
700002; 5;    2;    4
700003; 0;    2;    4
700003; 1;   10;   50
700003; 2;    1;    4
700003; 5;    2;    4
700004; 0;    2;    4
700004; 1;   10;   50
700004; 2;    1;    4
700004; 5;    2;    4
700005; 0;    2;    4
700005; 1;   10;   50
700005; 2;    1;    4
700005; 5;    2;    4
700006; 0;    2;    4
700006; 1;   10;   50
700006; 2;    1;    4
700006; 5;    2;    4
700007; 0;    2;    4
700007; 1;   10;   50
700007; 2;    1;    4
700007; 5;    2;    4
700008; 0;    2;    4
700008; 1;   10;   50
700008; 2;    1;    4
700008; 5;    2;    4
700009; 0;    2;    4
700009; 1;   10;   50
700009; 2;    1;    4
700009; 5;    2;    4
700010; 0;    2;    4
700010; 1;   10;   50
700010; 2;    1;    4
700010; 5;    2;    4
700011; 0;    2;    4
700011; 1;   10;   50
700011; 2;    1;    4
700011; 5;    2;    4
700012; 0;    2;    4
700012; 1;   10;   50
700012; 2;    1;    4
700012; 5;    2;    4
700013; 0;    2;    4
700013; 1;   10;   50
700013; 2;    1;    4
700013; 5;    2;    4
700014; 0;    2;    4
700014; 1;   10;   50
700014; 2;    1;    4
700014; 5;    2;    4
700015; 0;    2;    4
700015; 1;   10;   50
700015; 2;    1;    4
700015; 5;    2;    4
700016; 0;    2;    4
700016; 1;   10;   50
700016; 2;    1;    4
700016; 5;    2;    4
700017; 0;    2;    4
700017; 1;   10;   50
700017; 2;    1;    4
700017; 5;    2;    4
700018; 0;    2;    4
700018; 1;   10;   50
700018; 2;    1;    4
700018; 5;    2;    4
700019; 0;    2;    4
700019; 1;   10;   50
700019; 2;    1;    4
700019; 5;    2;    4
700020; 0;    2;    4
700020; 1;   10;   50
700020; 2;    1;    4
700020; 5;    2;    4
700021; 0;    2;    4
700021; 1;   10;   50
700021; 2;    1;    4
700021; 5;    2;    4
700022; 0;    2;    4
700022; 1;   10;   50
700022; 2;    1;    4
700022; 5;    2;    4
700023; 0;    2;    4
700023; 1;   10;   50
700023; 2;    1;    4
700023; 5;    2;    4
700024; 0;    2;    4
700024; 1;   10;   50
700024; 2;    1;    4
700024; 5;    2;    4
700025; 0;    2;    4
700025; 1;   10;   50
700025; 2;    1;    4
700025; 5;    2;    4
700026; 0;    2;    4
700026; 1;   10;   50
700026; 2;    1;    4
700026; 5;    2;    4
700027; 0;    2;    4
700027; 1;   10;   50
700027; 2;    1;    4
700027; 5;    2;    4
700028; 0;    2;    4
700028; 1;   10;   50
700028; 2;    1;    4
700028; 5;    2;    4
700029; 0;    2;    4
700029; 1;   10;   50
700029; 2;    1;    4
700029; 5;    2;    4
700030; 0;    2;    4
700030; 1;   10;   50
700030; 2;    1;    4
700030; 5;    2;    4
700031; 0;    2;    4
700031; 1;   10;   50
700031; 2;    1;    4
700031; 5;    2;    4
700032; 0;    2;    4
700032; 1;   10;   50
700032; 2;    1;    4
700032; 5;    2;    4
700033; 0;    2;    4
700033; 1;   10;   50
700033; 2;    1;    4
700033; 5;    2;    4
700034; 0;    2;    4
700034; 1;   10;   50
700034; 2;    1;    4
700034; 5;    2;    4
700035; 0;    2;    4
700035; 1;   10;   50
700035; 2;    1;    4
700035; 5;    2;    4
700036; 0;    2;    4
700036; 1;   10;   50
700036; 2;    1;    4
700036; 5;    2;    4
700037; 0;    2;    4
700037; 1;   10;   50
700037; 2;    1;    4
700037; 5;    2;    4
700038; 0;    2;    4
700038; 1;   10;   50
700038; 2;    1;    4
700038; 5;    2;    4
700039; 0;    2;    4
700039; 1;   10;   50
700039; 2;    1;    4
700039; 5;    2;    4
700040; 0;    2;    4
700040; 1;   10;   50
700040; 2;    1;    4
700040; 5;    2;    4
700041; 0;    2;    4
700041; 1;   10;   50
700041; 2;    1;    4
700041; 5;    2;    4
700042; 0;    2;    4
700042; 1;   10;   50
700042; 2;    1;    4
700042; 5;    2;    4
700043; 0;    2;    4
700043; 1;   10;   50
700043; 2;    1;    4
700043; 5;    2;    4
700044; 0;    2;    4
700044; 1;   10;   50
700044; 2;    1;    4
700044; 5;    2;    4
700045; 0;    2;    4
700045; 1;   10;   50
700045; 2;    1;    4
700045; 5;    2;    4
700046; 0;    2;    4
700046; 1;   10;   50
700046; 2;    1;    4
700046; 5;    2;    4
700047; 0;    2;    4
700047; 1;   10;   50
700047; 2;    1;    4
700047; 5;    2;    4
700048; 0;    2;    4
700048; 1;   10;   50
700048; 2;    1;    4
700048; 5;    2;    4
700049; 0;    2;    4
700049; 1;   10;   50
700049; 2;    1;    4
700049; 5;    2;    4
700050; 0;    2;    4
700050; 1;   10;   50
700050; 2;    1;    4
700050; 5;    2;    4
700051; 0;    2;    4
700051; 1;   10;   50
700051; 2;    1;    4
700051; 5;    2;    4
700052; 0;    2;    4
700052; 1;   10;   50
700052; 2;    1;    4
700052; 5;    2;    4
700054; 0;    2;    4
700054; 1;   10;   50
700054; 2;    1;    4
700054; 5;    2;    4
700055; 0;    2;    4
700055; 1;   10;   50
700055; 2;    1;    4
700055; 5;    2;    4
700056; 0;    2;    4
700056; 1;   10;   50
700056; 2;    1;    4
700056; 5;    2;    4
700057; 0;    2;    4
700057; 1;   10;   50
700057; 2;    1;    4
700057; 5;    2;    4
700058; 0;    2;    4
700058; 1;   10;   50
700058; 2;    1;    4
700058; 5;    2;    4
700059; 0;    2;    4
700059; 1;   10;   50
700059; 2;    1;    4
700059; 5;    2;    4
700060; 0;    2;    4
700060; 1;   10;   50
700060; 2;    1;    4
700060; 5;    2;    4
700061; 0;    2;    4
700061; 1;   10;   50
700061; 2;    1;    4
700061; 5;    2;    4
700062; 0;    2;    4
700062; 1;   10;   50
700062; 2;    1;    4
700062; 5;    2;    4
700063; 0;    2;    4
700063; 1;   10;   50
700063; 2;    1;    4
700063; 5;    2;    4
700064; 0;    2;    4
700064; 1;   10;   50
700064; 2;    1;    4
700064; 5;    2;    4
700065; 0;    2;    4
700065; 1;   10;   50
700065; 2;    1;    4
700065; 5;    2;    4
700066; 0;    2;    4
700066; 1;   10;   50
700066; 2;    1;    4
700066; 5;    2;    4
700067; 0;    2;    4
700067; 1;   10;   50
700067; 2;    1;    4
700067; 5;    2;    4
700068; 0;    2;    4
700068; 1;   10;   50
700068; 2;    1;    4
700068; 5;    2;    4
700069; 0;    2;    4
700069; 1;   10;   50
700069; 2;    1;    4
700069; 5;    2;    4
700070; 0;    2;    4
700070; 1;   10;   50
700070; 2;    1;    4
700070; 5;    2;    4
700071; 0;    2;    4
700071; 1;   10;   50
700071; 2;    1;    4
700071; 5;    2;    4
700072; 0;    2;    4
700072; 1;   10;   50
700072; 2;    1;    4
700072; 5;    2;    4
700073; 0;    2;    4
700073; 1;   10;   50
700073; 2;    1;    4
700073; 5;    2;    4
700074; 0;    2;    4
700074; 1;   10;   50
700074; 2;    1;    4
700074; 5;    2;    4
700075; 0;    2;    4
700075; 1;   10;   50
700075; 2;    1;    4
700075; 5;    2;    4
700076; 0;    2;    4
700076; 1;   10;   50
700076; 2;    1;    4
700076; 5;    2;    4
700077; 0;    2;    4
700077; 1;   10;   50
700077; 2;    1;    4
700077; 5;    2;    4
700078; 0;    2;    4
700078; 1;   10;   50
700078; 2;    1;    4
700078; 5;    2;    4
700079; 0;    2;    4
700079; 1;   10;   50
700079; 2;    1;    4
700079; 5;    2;    4
700080; 0;    2;    4
700080; 1;   10;   50
700080; 2;    1;    4
700080; 5;    2;    4
700081; 0;    2;    4
700081; 1;   10;   50
700081; 2;    1;    4
700081; 5;    2;    4
700082; 0;    2;    4
700082; 1;   10;   50
700082; 2;    1;    4
700082; 5;    2;    4
700083; 0;    2;    4
700083; 1;   10;   50
700083; 2;    1;    4
700083; 5;    2;    4
700084; 0;    2;    4
700084; 1;   10;   50
700084; 2;    1;    4
700084; 5;    2;    4
700085; 0;    2;    4
700085; 1;   10;   50
700085; 2;    1;    4
700085; 5;    2;    4
700086; 0;    2;    4
700086; 1;   10;   50
700086; 2;    1;    4
700086; 5;    2;    4
700087; 0;    2;    4
700087; 1;   10;   50
700087; 2;    1;    4
700087; 5;    2;    4
700088; 0;    2;    4
700088; 1;   10;   50
700088; 2;    1;    4
700088; 5;    2;    4
700089; 0;    2;    4
700089; 1;   10;   50
700089; 2;    1;    4
700089; 5;    2;    4
700090; 0;    2;    4
700090; 1;   10;   50
700090; 2;    1;    4
700090; 5;    2;    4
700091; 0;    2;    4
700091; 1;   10;   50
700091; 2;    1;    4
700091; 5;    2;    4
700092; 0;    2;    4
700092; 1;   10;   50
700092; 2;    1;    4
700092; 5;    2;    4
700093; 0;    2;    4
700093; 1;   10;   50
700093; 2;    1;    4
700093; 5;    2;    4
700094; 0;    2;    4
700094; 1;   10;   50
700094; 2;    1;    4
700094; 5;    2;    4
700095; 0;    2;    4
700095; 1;   10;   50
700095; 2;    1;    4
700095; 5;    2;    4
700096; 0;    2;    4
700096; 1;   10;   50
700096; 2;    1;    4
700096; 5;    2;    4
700097; 0;    2;    4
700097; 1;   10;   50
700097; 2;    1;    4
700097; 5;    2;    4
700098; 0;    2;    4
700098; 1;   10;   50
700098; 2;    1;    4
700098; 5;    2;    4
700099; 0;    2;    4
700099; 1;   10;   50
700099; 2;    1;    4
700099; 5;    2;    4
700100; 0;    2;    4
700100; 1;   10;   50
700100; 2;    1;    4
700100; 5;    2;    4
700101; 0;    2;    4
700101; 1;   10;   50
700101; 2;    1;    4
700101; 5;    2;    4
700102; 0;    2;    4
700102; 1;   10;   50
700102; 2;    1;    4
700102; 5;    2;    4
700103; 0;    2;    4
700103; 1;   10;   50
700103; 2;    1;    4
700103; 5;    2;    4
700104; 0;    2;    4
700104; 1;   10;   50
700104; 2;    1;    4
700104; 5;    2;    4
700105; 0;    2;    4
700105; 1;   10;   50
700105; 2;    1;    4
700105; 5;    2;    4
700106; 0;    2;    4
700106; 1;   10;   50
700106; 2;    1;    4
700106; 5;    2;    4
700107; 0;    2;    4
700107; 1;   10;   50
700107; 2;    1;    4
700107; 5;    2;    4
700108; 0;    2;    4
700108; 1;   10;   50
700108; 2;    1;    4
700108; 5;    2;    4
700109; 0;    2;    4
700109; 1;   10;   50
700109; 2;    1;    4
700109; 5;    2;    4
700110; 0;    2;    4
700110; 1;   10;   50
700110; 2;    1;    4
700110; 5;    2;    4
700111; 0;    2;    4
700111; 1;   10;   50
700111; 2;    1;    4
700111; 5;    2;    4
700112; 0;    2;    4
700112; 1;   10;   50
700112; 2;    1;    4
700112; 5;    2;    4
700113; 0;    2;    4
700113; 1;   10;   50
700113; 2;    1;    4
700113; 5;    2;    4
700114; 0;    2;    4
700114; 1;   10;   50
700114; 2;    1;    4
700114; 5;    2;    4
700115; 0;    2;    4
700115; 1;   10;   50
700115; 2;    1;    4
700115; 5;    2;    4
700116; 0;    2;    4
700116; 1;   10;   50
700116; 2;    1;    4
700116; 5;    2;    4
700117; 0;    2;    4
700117; 1;   10;   50
700117; 2;    1;    4
700117; 5;    2;    4
700118; 0;    2;    4
700118; 1;   10;   50
700118; 2;    1;    4
700118; 5;    2;    4
700119; 0;    2;    4
700119; 1;   10;   50
700119; 2;    1;    4
700119; 5;    2;    4
700120; 0;    2;    4
700120; 1;   10;   50
700120; 2;    1;    4
700120; 5;    2;    4
700121; 0;    2;    4
700121; 1;   10;   50
700121; 2;    1;    4
700121; 5;    2;    4
700122; 0;    2;    4
700122; 1;   10;   50
700122; 2;    1;    4
700122; 5;    2;    4
700123; 0;    2;    4
700123; 1;   10;   50
700123; 2;    1;    4
700123; 5;    2;    4
700124; 0;    2;    4
700124; 1;   10;   50
700124; 2;    1;    4
700124; 5;    2;    4
700125; 0;    2;    4
700125; 1;   10;   50
700125; 2;    1;    4
700125; 5;    2;    4
700126; 0;    2;    4
700126; 1;   10;   50
700126; 2;    1;    4
700126; 5;    2;    4
700127; 0;    2;    4
700127; 1;   10;   50
700127; 2;    1;    4
700127; 5;    2;    4
700128; 0;    2;    4
700128; 1;   10;   50
700128; 2;    1;    4
700128; 5;    2;    4
700129; 0;    2;    4
700129; 1;   10;   50
700129; 2;    1;    4
700129; 5;    2;    4
700130; 0;    2;    4
700130; 1;   10;   50
700130; 2;    1;    4
700130; 5;    2;    4
700131; 0;    2;    4
700131; 1;   10;   50
700131; 2;    1;    4
700131; 5;    2;    4
700132; 0;    2;    4
700132; 1;   10;   50
700132; 2;    1;    4
