*
* Ovkansen potentiele windsnelheid Vlissingen met aanpassing voor winddrag
* WBI2017: 12-uursmaxima, gegeven windrichting
*
* Project: PR3556.10
* Door:    Chris Geerse van HKV lijn in water
* Datum:   augustus 2017
*
*
* u, m/s    NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
 14.00      2.580e-03      2.459e-03      2.623e-03      1.698e-03      2.694e-03      4.704e-03      1.408e-02      3.510e-02      7.664e-02      1.171e-01      1.521e-01      1.244e-01      5.516e-02      2.754e-02      1.438e-02      6.445e-03 
 14.50      1.668e-03      1.584e-03      1.754e-03      1.163e-03      1.858e-03      3.330e-03      1.013e-02      2.533e-02      5.735e-02      8.796e-02      1.158e-01      1.053e-01      4.502e-02      2.153e-02      1.097e-02      4.693e-03 
 15.00      1.054e-03      1.022e-03      1.172e-03      7.962e-04      1.281e-03      2.359e-03      7.294e-03      1.828e-02      4.658e-02      7.463e-02      1.005e-01      9.237e-02      3.749e-02      1.683e-02      8.351e-03      3.195e-03 
 15.50      6.692e-04      6.619e-04      7.840e-04      5.452e-04      8.838e-04      1.644e-03      5.211e-03      1.319e-02      3.471e-02      5.528e-02      7.529e-02      7.786e-02      3.063e-02      1.316e-02      6.357e-03      2.175e-03 
 16.00      4.270e-04      4.296e-04      5.243e-04      3.733e-04      6.096e-04      1.146e-03      3.725e-03      9.523e-03      2.947e-02      4.698e-02      6.307e-02      6.031e-02      2.388e-02      1.028e-02      4.842e-03      1.480e-03 
 16.50      2.739e-04      2.794e-04      3.506e-04      2.556e-04      4.205e-04      7.986e-04      2.662e-03      6.873e-03      1.974e-02      3.371e-02      4.754e-02      4.885e-02      1.910e-02      7.960e-03      3.512e-03      1.008e-03 
 17.00      1.765e-04      1.822e-04      2.345e-04      1.750e-04      2.900e-04      5.567e-04      1.904e-03      4.961e-03      1.322e-02      2.602e-02      3.925e-02      4.046e-02      1.546e-02      6.163e-03      2.547e-03      6.860e-04 
 17.50      1.143e-04      1.190e-04      1.569e-04      1.198e-04      2.000e-04      3.881e-04      1.361e-03      3.580e-03      8.865e-03      1.829e-02      2.834e-02      3.045e-02      1.186e-02      4.777e-03      1.848e-03      4.669e-04 
 18.00      7.434e-05      7.789e-05      1.049e-04      8.203e-05      1.379e-04      2.705e-04      9.737e-04      2.584e-03      5.943e-03      1.370e-02      2.201e-02      2.292e-02      9.101e-03      3.706e-03      1.341e-03      3.179e-04 
 18.50      4.856e-05      5.106e-05      7.022e-05      5.617e-05      9.511e-05      1.886e-04      6.966e-04      1.865e-03      3.985e-03      1.030e-02      1.709e-02      1.725e-02      6.987e-03      2.878e-03      9.728e-04      2.164e-04 
 19.00      3.184e-05      3.353e-05      4.699e-05      3.846e-05      6.562e-05      1.315e-04      4.941e-04      1.330e-03      2.672e-03      7.783e-03      1.328e-02      1.299e-02      5.368e-03      2.236e-03      7.061e-04      1.473e-04 
 19.50      2.097e-05      2.205e-05      3.145e-05      2.633e-05      4.526e-05      9.167e-05      3.507e-04      9.489e-04      1.791e-03      5.900e-03      1.032e-02      9.775e-03      4.024e-03      1.663e-03      5.125e-04      1.003e-04 
 20.00      1.385e-05      1.451e-05      2.104e-05      1.803e-05      3.122e-05      6.390e-05      2.488e-04      6.768e-04      1.201e-03      4.490e-03      8.018e-03      7.357e-03      3.017e-03      1.237e-03      3.720e-04      6.825e-05 
 20.50      9.176e-06      9.566e-06      1.408e-05      1.234e-05      2.153e-05      4.456e-05      1.766e-04      4.828e-04      8.606e-04      3.460e-03      6.232e-03      5.538e-03      2.262e-03      9.198e-04      2.701e-04      4.646e-05 
 21.00      6.097e-06      6.314e-06      9.430e-06      8.452e-06      1.485e-05      3.107e-05      1.253e-04      3.444e-04      6.165e-04      2.669e-03      4.844e-03      4.168e-03      1.696e-03      6.842e-04      1.961e-04      3.162e-05 
 21.50      4.065e-06      4.170e-06      6.314e-06      5.787e-06      1.024e-05      2.166e-05      8.894e-05      2.457e-04      4.415e-04      2.061e-03      3.766e-03      3.137e-03      1.272e-03      5.090e-04      1.424e-04      2.153e-05 
 22.00      2.715e-06      2.757e-06      4.228e-06      3.962e-06      7.066e-06      1.510e-05      6.312e-05      1.752e-04      3.163e-04      1.592e-03      2.927e-03      2.362e-03      9.539e-04      3.787e-04      1.034e-04      1.465e-05 
 22.50      1.818e-06      1.824e-06      2.831e-06      2.713e-06      4.874e-06      1.053e-05      4.481e-05      1.250e-04      2.266e-04      1.231e-03      2.282e-03      1.823e-03      7.252e-04      2.817e-04      7.512e-05      9.975e-06 
 23.00      1.219e-06      1.208e-06      1.897e-06      1.858e-06      3.362e-06      7.344e-06      3.181e-05      8.916e-05      1.623e-04      9.522e-04      1.779e-03      1.407e-03      5.515e-04      2.097e-04      5.457e-05      6.790e-06 
 23.50      8.195e-07      8.003e-07      1.270e-06      1.272e-06      2.319e-06      5.121e-06      2.258e-05      6.360e-05      1.163e-04      7.203e-04      1.355e-03      1.086e-03      4.195e-04      1.560e-04      3.963e-05      4.622e-06 
 24.00      5.515e-07      5.304e-07      8.510e-07      8.708e-07      1.599e-06      3.571e-06      1.603e-05      4.537e-05      8.327e-05      5.451e-04      1.032e-03      8.378e-04      3.191e-04      1.161e-04      2.879e-05      3.146e-06 
 24.50      3.718e-07      3.518e-07      5.702e-07      5.962e-07      1.103e-06      2.490e-06      1.138e-05      3.236e-05      5.965e-05      4.128e-04      7.868e-04      6.466e-04      2.429e-04      8.640e-05      2.092e-05      2.142e-06 
 25.00      2.509e-07      2.334e-07      3.821e-07      4.082e-07      7.611e-07      1.737e-06      8.083e-06      2.308e-05      4.273e-05      3.126e-04      5.995e-04      4.990e-04      1.849e-04      6.431e-05      1.520e-05      1.458e-06 
 25.50      1.695e-07      1.549e-07      2.561e-07      2.795e-07      5.250e-07      1.211e-06      5.739e-06      1.646e-05      3.060e-05      2.368e-04      4.569e-04      3.851e-04      1.408e-04      4.787e-05      1.105e-05      9.924e-07 
 26.00      1.146e-07      1.029e-07      1.717e-07      1.914e-07      3.621e-07      8.448e-07      4.075e-06      1.174e-05      2.193e-05      1.794e-04      3.481e-04      2.972e-04      1.072e-04      3.563e-05      8.026e-06      6.755e-07 
 26.50      7.756e-08      6.835e-08      1.151e-07      1.310e-07      2.498e-07      5.893e-07      2.895e-06      8.378e-06      1.570e-05      1.360e-04      2.653e-04      2.294e-04      8.169e-05      2.653e-05      5.832e-06      4.598e-07 
 27.00      5.253e-08      4.541e-08      7.715e-08      8.972e-08      1.723e-07      4.111e-07      2.057e-06      5.976e-06      1.125e-05      1.031e-04      2.022e-04      1.770e-04      6.224e-05      1.975e-05      4.238e-06      3.130e-07 
 27.50      3.561e-08      3.018e-08      5.174e-08      6.143e-08      1.189e-07      2.868e-07      1.461e-06      4.263e-06      8.058e-06      7.816e-05      1.541e-04      1.366e-04      4.744e-05      1.470e-05      3.080e-06      2.131e-07 
 28.00      2.413e-08      2.006e-08      3.470e-08      4.206e-08      8.200e-08      2.000e-07      1.038e-06      3.041e-06      5.772e-06      5.928e-05      1.175e-04      1.055e-04      3.619e-05      1.095e-05      2.239e-06      1.450e-07 
 28.50      1.638e-08      1.334e-08      2.327e-08      2.880e-08      5.656e-08      1.395e-07      7.372e-07      2.169e-06      4.134e-06      4.495e-05      8.948e-05      8.139e-05      2.760e-05      8.154e-06      1.627e-06      9.873e-08 
 29.00      1.112e-08      8.868e-09      1.561e-08      1.972e-08      3.902e-08      9.734e-08      5.237e-07      1.547e-06      2.961e-06      3.409e-05      6.819e-05      6.281e-05      2.105e-05      6.070e-06      1.183e-06      6.721e-08 
 29.50      7.548e-09      5.900e-09      1.048e-08      1.350e-08      2.691e-08      6.789e-08      3.722e-07      1.104e-06      2.122e-06      2.587e-05      5.197e-05      4.848e-05      1.606e-05      4.521e-06      8.597e-07      4.575e-08 
 30.00      5.126e-09      3.925e-09      7.031e-09      9.244e-09      1.857e-08      4.737e-08      2.644e-07      7.872e-07      1.520e-06      1.963e-05      3.961e-05      3.741e-05      1.226e-05      3.367e-06      6.249e-07      3.114e-08 
 30.50      3.433e-09      2.618e-09      4.738e-09      6.380e-09      1.288e-08      3.306e-08      1.888e-07      5.651e-07      1.095e-06      1.484e-05      3.008e-05      2.888e-05      9.375e-06      2.519e-06      4.555e-07      2.088e-08 
 31.00      1.945e-09      1.438e-09      2.635e-09      3.650e-09      7.456e-09      1.947e-08      1.141e-07      3.434e-07      6.699e-07      9.904e-06      2.019e-05      1.973e-05      6.303e-06      1.632e-06      2.848e-07      1.186e-08 
 31.50      1.103e-09      7.894e-10      1.466e-09      2.088e-09      4.314e-09      1.147e-08      6.900e-08      2.087e-07      4.097e-07      6.610e-06      1.355e-05      1.348e-05      4.241e-06      1.058e-06      1.781e-07      6.740e-09 
 32.00      6.255e-10      4.335e-10      8.156e-10      1.194e-09      2.496e-09      6.754e-09      4.172e-08      1.268e-07      2.505e-07      4.412e-06      9.094e-06      9.207e-06      2.855e-06      6.854e-07      1.114e-07      3.829e-09 
 32.50      3.548e-10      2.381e-10      4.540e-10      6.831e-10      1.444e-09      3.977e-09      2.523e-08      7.708e-08      1.532e-07      2.946e-06      6.104e-06      6.290e-06      1.922e-06      4.440e-07      6.966e-08      2.175e-09 
 33.00      2.014e-10      1.308e-10      2.528e-10      3.908e-10      8.357e-10      2.343e-09      1.526e-08      4.684e-08      9.363e-08      1.967e-06      4.097e-06      4.297e-06      1.295e-06      2.878e-07      4.356e-08      1.236e-09 
 33.50      1.143e-10      7.186e-11      1.408e-10      2.235e-10      4.836e-10      1.380e-09      9.232e-09      2.847e-08      5.728e-08      1.314e-06      2.750e-06      2.936e-06      8.732e-07      1.865e-07      2.725e-08      7.019e-10 
 34.00      6.487e-11      3.949e-11      7.847e-11      1.279e-10      2.798e-10      8.131e-10      5.584e-09      1.730e-08      3.502e-08      8.782e-07      1.847e-06      2.006e-06      5.890e-07      1.209e-07      1.705e-08      3.987e-10 
 34.50      3.683e-11      2.170e-11      4.374e-11      7.314e-11      1.619e-10      4.791e-10      3.377e-09      1.051e-08      2.142e-08      5.869e-07      1.240e-06      1.370e-06      3.974e-07      7.839e-08      1.066e-08      2.265e-10 
 35.00      2.092e-11      1.193e-11      2.439e-11      4.184e-11      9.367e-11      2.823e-10      2.044e-09      6.389e-09      1.310e-08      3.923e-07      8.324e-07      9.361e-07      2.683e-07      5.083e-08      6.668e-09      1.287e-10 
 35.50      1.188e-11      6.553e-12      1.360e-11      2.393e-11      5.421e-11      1.663e-10      1.237e-09      3.883e-09      8.009e-09      2.622e-07      5.589e-07      6.395e-07      1.812e-07      3.296e-08      4.171e-09      7.310e-11 
 36.00      6.744e-12      3.603e-12      7.592e-12      1.369e-11      3.137e-11      9.801e-11      7.486e-10      2.360e-09      4.898e-09      1.753e-07      3.753e-07      4.369e-07      1.224e-07      2.137e-08      2.610e-09      4.152e-11 
 36.50      3.831e-12      1.980e-12      4.238e-12      7.832e-12      1.816e-11      5.778e-11      4.531e-10      1.434e-09      2.995e-09      1.172e-07      2.520e-07      2.985e-07      8.277e-08      1.386e-08      1.632e-09      2.359e-11 
 37.00      2.176e-12      1.088e-12      2.367e-12      4.480e-12      1.051e-11      3.405e-11      2.742e-10      8.714e-10      1.831e-09      7.841e-08      1.693e-07      2.039e-07      5.597e-08      8.991e-09      1.021e-09      1.340e-11 
 37.50      1.236e-12      5.983e-13      1.322e-12      2.563e-12      6.080e-12      2.007e-11      1.660e-10      5.296e-10      1.120e-09      5.242e-08      1.136e-07      1.393e-07      3.786e-08      5.831e-09      6.388e-10      7.612e-12 
 38.00      7.019e-13      3.289e-13      7.391e-13      1.466e-12      3.519e-12      1.183e-11      1.005e-10      3.218e-10      6.848e-10      3.507e-08      7.632e-08      9.517e-08      2.563e-08      3.783e-09      3.996e-10      4.324e-12 
 38.50      3.988e-13      1.807e-13      4.131e-13      8.385e-13      2.036e-12      6.974e-12      6.085e-11      1.956e-10      4.188e-10      2.346e-08      5.126e-08      6.502e-08      1.735e-08      2.454e-09      2.500e-10      2.457e-12 
 39.00      2.266e-13      9.937e-14      2.311e-13      4.797e-13      1.179e-12      4.111e-12      3.685e-11      1.189e-10      2.560e-10      1.569e-08      3.443e-08      4.442e-08      1.175e-08      1.592e-09      1.564e-10      1.396e-12 
 39.50      1.287e-13      5.462e-14      1.293e-13      2.744e-13      6.820e-13      2.424e-12      2.231e-11      7.223e-11      1.566e-10      1.050e-08      2.313e-08      3.035e-08      7.962e-09      1.033e-09      9.785e-11      7.928e-13 
 40.00      7.307e-14      3.003e-14      7.239e-14      1.570e-13      3.947e-13      1.429e-12      1.351e-11      4.390e-11      9.579e-11      7.025e-09      1.553e-08      2.073e-08      5.395e-09      6.700e-10      6.121e-11      4.503e-13 
 40.50      4.151e-14      1.651e-14      4.053e-14      8.978e-14      2.285e-13      8.428e-13      8.184e-12      2.668e-11      5.856e-11      4.701e-09      1.043e-08      1.416e-08      3.657e-09      4.349e-10      3.829e-11      2.558e-13 
 41.00      2.358e-14      9.071e-15      2.270e-14      5.136e-14      1.322e-13      4.969e-13      4.956e-12      1.621e-11      3.580e-11      3.146e-09      7.010e-09      9.676e-09      2.481e-09      2.822e-10      2.396e-11      1.453e-13 
 41.50      1.340e-14      4.988e-15      1.272e-14      2.938e-14      7.652e-14      2.930e-13      3.002e-12      9.852e-12      2.190e-11      2.105e-09      4.710e-09      6.611e-09      1.683e-09      1.832e-10      1.499e-11      8.256e-14 
 42.00      7.609e-15      2.742e-15      7.134e-15      1.681e-14      4.428e-14      1.728e-13      1.819e-12      5.987e-12      1.339e-11      1.409e-09      3.164e-09      4.516e-09      1.142e-09      1.188e-10      9.378e-12      4.690e-14 
