*
* Overschrijdingskansen potentiele windsnelheid Vlissingen met winddrag. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: Chris Geerse van HKV lijn in water
* Project: PR3556.10
* Datum: augustus 2017
*
* u         NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
 14.00      2.900e-03      2.747e-03      2.878e-03      1.900e-03      2.895e-03      5.009e-03      1.420e-02      3.444e-02      7.716e-02      1.161e-01      1.499e-01      1.276e-01      5.669e-02      2.842e-02      1.493e-02      6.778e-03 
 14.50      1.877e-03      1.790e-03      1.938e-03      1.278e-03      2.019e-03      3.573e-03      1.058e-02      2.614e-02      6.050e-02      9.317e-02      1.224e-01      1.080e-01      4.632e-02      2.226e-02      1.143e-02      4.886e-03 
 15.00      1.211e-03      1.166e-03      1.307e-03      8.763e-04      1.404e-03      2.537e-03      7.762e-03      1.942e-02      4.734e-02      7.425e-02      9.897e-02      9.138e-02      3.788e-02      1.745e-02      8.730e-03      3.459e-03 
 15.50      7.792e-04      7.608e-04      8.808e-04      6.039e-04      9.747e-04      1.794e-03      5.622e-03      1.419e-02      3.689e-02      5.889e-02      7.954e-02      7.641e-02      3.082e-02      1.367e-02      6.647e-03      2.406e-03 
 16.00      5.017e-04      4.976e-04      5.938e-04      4.165e-04      6.770e-04      1.263e-03      4.050e-03      1.030e-02      2.827e-02      4.626e-02      6.347e-02      6.265e-02      2.483e-02      1.069e-02      5.023e-03      1.656e-03 
 16.50      3.241e-04      3.263e-04      4.005e-04      2.873e-04      4.703e-04      8.873e-04      2.913e-03      7.479e-03      2.093e-02      3.575e-02      5.026e-02      5.056e-02      1.984e-02      8.339e-03      3.750e-03      1.137e-03 
 17.00      2.103e-04      2.145e-04      2.702e-04      1.982e-04      3.268e-04      6.229e-04      2.096e-03      5.428e-03      1.486e-02      2.710e-02      3.944e-02      4.034e-02      1.574e-02      6.494e-03      2.767e-03      7.803e-04 
 17.50      1.371e-04      1.413e-04      1.824e-04      1.368e-04      2.271e-04      4.374e-04      1.507e-03      3.940e-03      1.024e-02      2.026e-02      3.065e-02      3.169e-02      1.239e-02      5.052e-03      2.026e-03      5.355e-04 
 18.00      8.979e-05      9.330e-05      1.231e-04      9.444e-05      1.579e-04      3.072e-04      1.084e-03      2.858e-03      6.956e-03      1.508e-02      2.367e-02      2.447e-02      9.650e-03      3.928e-03      1.480e-03      3.676e-04 
 18.50      5.906e-05      6.171e-05      8.316e-05      6.521e-05      1.098e-04      2.158e-04      7.793e-04      2.071e-03      4.712e-03      1.128e-02      1.830e-02      1.865e-02      7.452e-03      3.046e-03      1.080e-03      2.524e-04 
 19.00      3.901e-05      4.090e-05      5.618e-05      4.503e-05      7.634e-05      1.516e-04      5.594e-04      1.497e-03      3.194e-03      8.510e-03      1.421e-02      1.413e-02      5.719e-03      2.350e-03      7.888e-04      1.734e-04 
 19.50      2.586e-05      2.715e-05      3.797e-05      3.111e-05      5.311e-05      1.066e-04      4.008e-04      1.079e-03      2.173e-03      6.464e-03      1.107e-02      1.070e-02      4.364e-03      1.797e-03      5.761e-04      1.191e-04 
 20.00      1.721e-05      1.805e-05      2.567e-05      2.150e-05      3.696e-05      7.490e-05      2.869e-04      7.765e-04      1.489e-03      4.938e-03      8.630e-03      8.093e-03      3.313e-03      1.361e-03      4.209e-04      8.185e-05 
 20.50      1.149e-05      1.202e-05      1.736e-05      1.486e-05      2.572e-05      5.266e-05      2.052e-04      5.584e-04      1.034e-03      3.791e-03      6.734e-03      6.125e-03      2.506e-03      1.024e-03      3.076e-04      5.626e-05 
 21.00      7.697e-06      8.010e-06      1.175e-05      1.027e-05      1.790e-05      3.704e-05      1.468e-04      4.014e-04      7.284e-04      2.923e-03      5.256e-03      4.639e-03      1.892e-03      7.677e-04      2.248e-04      3.867e-05 
 21.50      5.170e-06      5.347e-06      7.952e-06      7.101e-06      1.247e-05      2.605e-05      1.050e-04      2.886e-04      5.196e-04      2.261e-03      4.103e-03      3.520e-03      1.429e-03      5.747e-04      1.644e-04      2.659e-05 
 22.00      3.483e-06      3.573e-06      5.384e-06      4.911e-06      8.682e-06      1.833e-05      7.515e-05      2.075e-04      3.735e-04      1.751e-03      3.202e-03      2.680e-03      1.081e-03      4.302e-04      1.202e-04      1.829e-05 
 22.50      2.352e-06      2.391e-06      3.647e-06      3.397e-06      6.048e-06      1.290e-05      5.379e-05      1.492e-04      2.693e-04      1.356e-03      2.497e-03      2.049e-03      8.202e-04      3.221e-04      8.796e-05      1.258e-05 
 23.00      1.592e-06      1.601e-06      2.471e-06      2.351e-06      4.214e-06      9.082e-06      3.851e-05      1.073e-04      1.945e-04      1.048e-03      1.943e-03      1.575e-03      6.240e-04      2.412e-04      6.437e-05      8.657e-06 
 23.50      1.079e-06      1.073e-06      1.675e-06      1.627e-06      2.937e-06      6.395e-06      2.758e-05      7.722e-05      1.405e-04      8.070e-04      1.507e-03      1.216e-03      4.760e-04      1.806e-04      4.711e-05      5.958e-06 
 24.00      7.335e-07      7.200e-07      1.136e-06      1.126e-06      2.047e-06      4.504e-06      1.975e-05      5.556e-05      1.015e-04      6.194e-04      1.164e-03      9.415e-04      3.637e-04      1.353e-04      3.449e-05      4.102e-06 
 24.50      4.993e-07      4.834e-07      7.704e-07      7.797e-07      1.427e-06      3.173e-06      1.415e-05      3.999e-05      7.332e-05      4.739e-04      8.965e-04      7.299e-04      2.782e-04      1.014e-04      2.526e-05      2.825e-06 
 25.00      3.404e-07      3.248e-07      5.228e-07      5.399e-07      9.953e-07      2.235e-06      1.014e-05      2.878e-05      5.298e-05      3.618e-04      6.887e-04      5.662e-04      2.130e-04      7.598e-05      1.850e-05      1.945e-06 
 25.50      2.324e-07      2.184e-07      3.549e-07      3.740e-07      6.943e-07      1.575e-06      7.271e-06      2.072e-05      3.830e-05      2.759e-04      5.284e-04      4.393e-04      1.631e-04      5.695e-05      1.355e-05      1.340e-06 
 26.00      1.589e-07      1.469e-07      2.410e-07      2.591e-07      4.844e-07      1.111e-06      5.213e-06      1.492e-05      2.769e-05      2.104e-04      4.052e-04      3.409e-04      1.250e-04      4.270e-05      9.933e-06      9.235e-07 
 26.50      1.087e-07      9.890e-08      1.637e-07      1.796e-07      3.380e-07      7.831e-07      3.739e-06      1.075e-05      2.002e-05      1.605e-04      3.107e-04      2.646e-04      9.577e-05      3.202e-05      7.280e-06      6.365e-07 
 27.00      7.449e-08      6.662e-08      1.112e-07      1.245e-07      2.360e-07      5.523e-07      2.682e-06      7.740e-06      1.448e-05      1.224e-04      2.383e-04      2.054e-04      7.342e-05      2.401e-05      5.336e-06      4.387e-07 
 27.50      5.108e-08      4.489e-08      7.561e-08      8.628e-08      1.647e-07      3.896e-07      1.925e-06      5.577e-06      1.047e-05      9.340e-05      1.828e-04      1.594e-04      5.631e-05      1.801e-05      3.912e-06      3.025e-07 
 28.00      3.505e-08      3.027e-08      5.141e-08      5.982e-08      1.150e-07      2.749e-07      1.381e-06      4.018e-06      7.573e-06      7.127e-05      1.402e-04      1.237e-04      4.319e-05      1.351e-05      2.868e-06      2.086e-07 
 28.50      2.406e-08      2.041e-08      3.495e-08      4.147e-08      8.028e-08      1.939e-07      9.909e-07      2.894e-06      5.475e-06      5.436e-05      1.074e-04      9.599e-05      3.311e-05      1.013e-05      2.102e-06      1.438e-07 
