m \ r (m+NAP),30;60;90;120;150;180;210;240;270;300;330;360
  4.52;1.566e-15;1.026e-15;7.644e-16;1.079e-15;1.036e-15;5.644e-16;6.185e-13;8.613e-07;2.584e-04;1.248e-034.072e-04;3.708e-06
  4.62;4.125e-16;2.701e-16;2.013e-16;2.842e-16;2.728e-16;1.487e-16;2.113e-13;5.347e-07;1.898e-04;9.628e-043.053e-04;2.373e-06
  4.72;1.078e-16;7.060e-17;5.262e-17;7.426e-17;7.130e-17;3.885e-17;7.160e-14;3.305e-07;1.386e-04;7.379e-042.277e-04;1.511e-06
  4.82;2.794e-17;1.830e-17;1.364e-17;1.925e-17;1.848e-17;1.007e-17;2.406e-14;2.031e-07;1.005e-04;5.614e-041.687e-04;9.554e-07
  4.92;7.187e-18;4.708e-18;3.509e-18;4.952e-18;4.754e-18;2.591e-18;8.016e-15;1.241e-07;7.245e-05;4.240e-041.242e-04;6.004e-07
  5.02;1.858e-18;1.217e-18;9.069e-19;1.280e-18;1.229e-18;6.697e-19;2.678e-15;7.583e-08;5.205e-05;3.188e-049.112e-05;3.767e-07
  5.12;4.878e-19;3.195e-19;2.381e-19;3.361e-19;3.227e-19;1.758e-19;9.029e-16;4.634e-08;3.728e-05;2.388e-046.666e-05;2.362e-07
  5.22;1.289e-19;8.445e-20;6.294e-20;8.882e-20;8.529e-20;4.647e-20;3.050e-16;2.827e-08;2.659e-05;1.779e-044.856e-05;1.476e-07
  5.32;3.409e-20;2.233e-20;1.664e-20;2.349e-20;2.255e-20;1.229e-20;1.028e-16;1.719e-08;1.888e-05;1.317e-043.521e-05;9.191e-08
  5.42;9.013e-21;5.903e-21;4.400e-21;6.209e-21;5.962e-21;3.249e-21;3.460e-17;1.042e-08;1.333e-05;9.696e-052.540e-05;5.700e-08
  5.52;2.382e-21;1.560e-21;1.163e-21;1.641e-21;1.576e-21;8.586e-22;1.162e-17;6.299e-09;9.368e-06;7.092e-051.822e-05;3.520e-08
