2	1440	1470	1550
5	1970	2010	2130
10	2300	2360	2510
20	2600	2670	2840
30	2780	2860	3040
50	2970	3070	3260
100	3220	3350	3560
250	3520	3660	3900
300	3570	3720	3970
500	3700	3870	4120
1000	3860	4040	4290
1250	3910	4080	4350
2000	4020	4200	4480
3000	4120	4280	4560
4000	4190	4330	4610
5000	4240	4380	4660
10000	4400	4530	4790
20000	4560	4670	4930
30000	4650	4750	5010
50000	4770	4850	5100
100000	4940	5000	5240


