%Terugkeertijd [jaren]	Werklijn afvoer [m3/s]	Werklijn afvoer uitgeintegreerde onzekerheid [m3/s]
2	1440	1440
5	1970	1978.69
10	2300	2317.4
20	2600	2639.28
50	2970	3044.51
100	3220	3317.99
250	3520	3634.94
500	3700	3845.09
1250	3910	4104.71
2000	4020	4241.72
4000	4180	4467.32
10000	4400	4799.04
20000	4560	5071.5
50000	4770	5444.73
100000	4930	5743.1
