*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 14.00      8.541e-03      6.202e-03      4.245e-03      1.577e-03      6.696e-04      1.148e-03      3.306e-03      9.596e-03      3.502e-02      1.098e-01      1.131e-01      1.009e-01      6.250e-02      4.095e-02      2.779e-02      1.399e-02 
 14.50      5.971e-03      4.250e-03      2.951e-03      1.074e-03      4.371e-04      7.248e-04      2.273e-03      6.713e-03      2.679e-02      8.734e-02      8.573e-02      7.405e-02      5.093e-02      3.364e-02      2.217e-02      1.101e-02 
 15.00      4.163e-03      2.913e-03      2.052e-03      7.309e-04      2.858e-04      4.578e-04      1.563e-03      4.685e-03      2.051e-02      6.780e-02      6.746e-02      5.434e-02      4.151e-02      2.764e-02      1.768e-02      8.665e-03 
 15.50      2.911e-03      1.998e-03      1.427e-03      4.976e-04      1.872e-04      2.892e-04      1.060e-03      3.269e-03      1.570e-02      5.264e-02      4.919e-02      3.987e-02      3.383e-02      2.270e-02      1.385e-02      6.492e-03 
 16.00      2.042e-03      1.371e-03      9.919e-04      3.387e-04      1.228e-04      1.827e-04      7.195e-04      2.282e-03      1.202e-02      3.997e-02      4.006e-02      3.114e-02      2.757e-02      1.865e-02      1.084e-02      4.838e-03 
 16.50      1.437e-03      9.408e-04      6.896e-04      2.306e-04      8.063e-05      1.154e-04      4.892e-04      1.592e-03      9.208e-03      3.028e-02      3.192e-02      2.448e-02      2.247e-02      1.499e-02      8.489e-03      3.605e-03 
 17.00      1.015e-03      6.460e-04      4.795e-04      1.569e-04      5.304e-05      7.288e-05      3.332e-04      1.111e-03      7.054e-03      2.294e-02      2.543e-02      1.925e-02      1.812e-02      1.205e-02      6.647e-03      2.687e-03 
 17.50      7.185e-04      4.438e-04      3.334e-04      1.068e-04      3.495e-05      4.604e-05      2.273e-04      7.755e-04      5.405e-03      1.738e-02      2.026e-02      1.514e-02      1.462e-02      9.684e-03      5.105e-03      2.002e-03 
 18.00      5.104e-04      3.050e-04      2.318e-04      7.272e-05      2.306e-05      2.908e-05      1.554e-04      5.412e-04      4.142e-03      1.316e-02      1.615e-02      1.190e-02      1.140e-02      7.783e-03      3.912e-03      1.492e-03 
 18.50      3.637e-04      2.097e-04      1.612e-04      4.950e-05      1.524e-05      1.837e-05      1.064e-04      3.777e-04      3.174e-03      9.973e-03      1.287e-02      9.360e-03      8.860e-03      6.256e-03      2.998e-03      1.112e-03 
 19.00      2.599e-04      1.442e-04      1.121e-04      3.370e-05      1.008e-05      1.160e-05      7.292e-05      2.636e-04      2.433e-03      7.556e-03      1.025e-02      7.360e-03      6.885e-03      5.028e-03      2.298e-03      8.284e-04 
