*
* Overschrijdingskansen potentiele windsnelheid Schiphol (Volkerfac). Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 14.00      8.940e-03      6.818e-03      4.638e-03      1.744e-03      7.607e-04      1.322e-03      3.633e-03      1.028e-02      3.661e-02      1.110e-01      1.135e-01      1.025e-01      5.842e-02      2.979e-02      1.763e-02      7.245e-03 
 14.50      6.446e-03      4.717e-03      3.248e-03      1.197e-03      5.011e-04      8.486e-04      2.515e-03      7.308e-03      2.812e-02      8.817e-02      8.961e-02      7.533e-02      4.515e-02      2.284e-02      1.307e-02      5.682e-03 
 15.00      4.589e-03      3.260e-03      2.275e-03      8.213e-04      3.306e-04      5.429e-04      1.739e-03      5.168e-03      2.160e-02      6.859e-02      6.927e-02      5.420e-02      3.479e-02      1.745e-02      9.765e-03      4.427e-03 
 15.50      3.244e-03      2.253e-03      1.594e-03      5.639e-04      2.186e-04      3.472e-04      1.199e-03      3.641e-03      1.661e-02      5.211e-02      5.255e-02      3.876e-02      2.670e-02      1.333e-02      7.414e-03      3.405e-03 
 16.00      2.292e-03      1.559e-03      1.117e-03      3.873e-04      1.447e-04      2.221e-04      8.240e-04      2.562e-03      1.277e-02      3.872e-02      3.940e-02      2.788e-02      2.039e-02      1.025e-02      5.727e-03      2.586e-03 
 16.50      1.622e-03      1.079e-03      7.828e-04      2.660e-04      9.599e-05      1.421e-04      5.657e-04      1.802e-03      9.820e-03      2.829e-02      2.945e-02      2.025e-02      1.547e-02      7.999e-03      4.467e-03      1.948e-03 
 17.00      1.152e-03      7.473e-04      5.489e-04      1.828e-04      6.378e-05      9.097e-05      3.886e-04      1.268e-03      7.555e-03      2.045e-02      2.205e-02      1.481e-02      1.165e-02      6.341e-03      3.489e-03      1.462e-03 
 17.50      8.202e-04      5.180e-04      3.850e-04      1.256e-04      4.245e-05      5.826e-05      2.673e-04      8.926e-04      5.815e-03      1.469e-02      1.654e-02      1.087e-02      8.721e-03      5.079e-03      2.716e-03      1.096e-03 
 18.00      5.859e-04      3.592e-04      2.701e-04      8.638e-05      2.830e-05      3.733e-05      1.842e-04      6.284e-04      4.477e-03      1.050e-02      1.238e-02      7.984e-03      6.532e-03      4.082e-03      2.105e-03      8.216e-04 
 18.50      4.198e-04      2.493e-04      1.895e-04      5.941e-05      1.889e-05      2.392e-05      1.272e-04      4.425e-04      3.447e-03      7.482e-03      9.247e-03      5.875e-03      4.933e-03      3.277e-03      1.625e-03      6.160e-04 
 19.00      3.017e-04      1.731e-04      1.330e-04      4.087e-05      1.264e-05      1.534e-05      8.797e-05      3.116e-04      2.656e-03      5.315e-03      6.885e-03      4.357e-03      3.773e-03      2.617e-03      1.253e-03      4.618e-04 
 19.50      2.175e-04      1.203e-04      9.340e-05      2.812e-05      8.466e-06      9.839e-06      6.093e-05      2.196e-04      2.046e-03      3.778e-03      5.123e-03      3.280e-03      2.917e-03      2.074e-03      9.657e-04      3.463e-04 
 20.00      1.572e-04      8.363e-05      6.560e-05      1.936e-05      5.680e-06      6.313e-06      4.227e-05      1.547e-04      1.577e-03      2.703e-03      3.825e-03      2.515e-03      2.271e-03      1.632e-03      7.442e-04      2.598e-04 
 20.50      1.139e-04      5.818e-05      4.608e-05      1.333e-05      3.817e-06      4.052e-06      2.936e-05      1.090e-04      1.216e-03      1.959e-03      2.879e-03      1.958e-03      1.772e-03      1.275e-03      5.735e-04      1.949e-04 
 21.00      8.279e-05      4.049e-05      3.238e-05      9.177e-06      2.568e-06      2.602e-06      2.043e-05      7.688e-05      9.372e-04      1.445e-03      2.188e-03      1.538e-03      1.384e-03      9.931e-04      4.420e-04      1.462e-04 
 21.50      6.032e-05      2.820e-05      2.276e-05      6.322e-06      1.731e-06      1.672e-06      1.423e-05      5.422e-05      7.228e-04      1.082e-03      1.676e-03      1.213e-03      1.081e-03      7.719e-04      3.407e-04      1.097e-04 
 22.00      4.405e-05      1.965e-05      1.600e-05      4.356e-06      1.168e-06      1.074e-06      9.923e-06      3.824e-05      5.575e-04      8.188e-04      1.288e-03      9.581e-04      8.448e-04      5.997e-04      2.627e-04      8.234e-05 
 22.50      3.224e-05      1.370e-05      1.125e-05      3.002e-06      7.894e-07      6.906e-07      6.928e-06      2.698e-05      4.302e-04      6.229e-04      9.898e-04      7.570e-04      6.602e-04      4.658e-04      2.026e-04      6.181e-05 
 23.00      2.365e-05      9.561e-06      7.914e-06      2.070e-06      5.342e-07      4.442e-07      4.842e-06      1.904e-05      3.319e-04      4.750e-04      7.594e-04      5.982e-04      5.161e-04      3.618e-04      1.563e-04      4.640e-05 
 23.50      1.739e-05      6.673e-06      5.569e-06      1.427e-06      3.619e-07      2.857e-07      3.388e-06      1.344e-05      2.562e-04      3.624e-04      5.814e-04      4.728e-04      4.035e-04      2.811e-04      1.205e-04      3.484e-05 
 24.00      1.280e-05      4.661e-06      3.919e-06      9.845e-07      2.455e-07      1.839e-07      2.373e-06      9.489e-06      1.978e-04      2.766e-04      4.446e-04      3.737e-04      3.155e-04      2.184e-04      9.301e-05      2.617e-05 
 24.50      9.447e-06      3.257e-06      2.759e-06      6.793e-07      1.668e-07      1.184e-07      1.663e-06      6.701e-06      1.527e-04      2.111e-04      3.398e-04      2.954e-04      2.467e-04      1.698e-04      7.177e-05      1.966e-05 
 25.00      6.982e-06      2.277e-06      1.942e-06      4.688e-07      1.134e-07      7.625e-08      1.167e-06      4.733e-06      1.179e-04      1.612e-04      2.596e-04      2.336e-04      1.930e-04      1.319e-04      5.539e-05      1.477e-05 
 25.50      5.168e-06      1.592e-06      1.368e-06      3.236e-07      7.720e-08      4.913e-08      8.192e-07      3.344e-06      9.109e-05      1.231e-04      1.984e-04      1.847e-04      1.510e-04      1.026e-04      4.276e-05      1.110e-05 
 26.00      3.831e-06      1.114e-06      9.638e-07      2.235e-07      5.261e-08      3.166e-08      5.756e-07      2.363e-06      7.037e-05      9.404e-05      1.517e-04      1.460e-04      1.181e-04      7.974e-05      3.301e-05      8.338e-06 
 26.50      2.844e-06      7.803e-07      6.791e-07      1.543e-07      3.589e-08      2.042e-08      4.047e-07      1.670e-06      5.437e-05      7.184e-05      1.160e-04      1.155e-04      9.246e-05      6.201e-05      2.549e-05      6.267e-06 
 27.00      2.114e-06      5.466e-07      4.787e-07      1.066e-07      2.451e-08      1.317e-08      2.848e-07      1.181e-06      4.201e-05      5.489e-05      8.871e-05      9.135e-05      7.237e-05      4.822e-05      1.969e-05      4.712e-06 
 27.50      1.573e-06      3.830e-07      3.375e-07      7.369e-08      1.675e-08      8.496e-09      2.005e-07      8.352e-07      3.247e-05      4.195e-05      6.788e-05      7.226e-05      5.666e-05      3.751e-05      1.521e-05      3.542e-06 
 28.00      1.172e-06      2.686e-07      2.380e-07      5.094e-08      1.146e-08      5.483e-09      1.412e-07      5.908e-07      2.510e-05      3.207e-05      5.195e-05      5.717e-05      4.437e-05      2.918e-05      1.175e-05      2.664e-06 
 28.50      8.740e-07      1.884e-07      1.679e-07      3.522e-08      7.849e-09      3.540e-09      9.956e-08      4.180e-07      1.941e-05      2.452e-05      3.977e-05      4.523e-05      3.474e-05      2.270e-05      9.077e-06      2.004e-06 
 29.00      6.524e-07      1.322e-07      1.184e-07      2.435e-08      5.379e-09      2.287e-09      7.021e-08      2.958e-07      1.501e-05      1.875e-05      3.046e-05      3.579e-05      2.721e-05      1.766e-05      7.015e-06      1.507e-06 
 29.50      4.874e-07      9.282e-08      8.357e-08      1.685e-08      3.690e-09      1.477e-09      4.954e-08      2.094e-07      1.161e-05      1.434e-05      2.333e-05      2.832e-05      2.132e-05      1.374e-05      5.422e-06      1.134e-06 
 30.00      3.645e-07      6.519e-08      5.899e-08      1.166e-08      2.533e-09      9.549e-10      3.498e-08      1.482e-07      8.977e-06      1.097e-05      1.788e-05      2.242e-05      1.670e-05      1.070e-05      4.191e-06      8.532e-07 
 30.50      2.727e-07      4.581e-08      4.165e-08      8.068e-09      1.740e-09      6.174e-10      2.470e-08      1.050e-07      6.944e-06      8.392e-06      1.371e-05      1.775e-05      1.309e-05      8.327e-06      3.240e-06      6.421e-07 
 31.00      2.042e-07      3.220e-08      2.941e-08      5.585e-09      1.196e-09      3.993e-10      1.746e-08      7.434e-08      5.373e-06      6.422e-06      1.051e-05      1.405e-05      1.026e-05      6.482e-06      2.505e-06      4.833e-07 
 31.50      1.530e-07      2.265e-08      2.077e-08      3.867e-09      8.228e-10      2.584e-10      1.234e-08      5.267e-08      4.158e-06      4.915e-06      8.064e-06      1.112e-05      8.044e-06      5.047e-06      1.938e-06      3.638e-07 
 32.00      1.147e-07      1.593e-08      1.468e-08      2.679e-09      5.664e-10      1.672e-10      8.727e-09      3.732e-08      3.218e-06      3.763e-06      6.188e-06      8.806e-06      6.307e-06      3.930e-06      1.499e-06      2.739e-07 
 32.50      8.605e-08      1.121e-08      1.037e-08      1.856e-09      3.902e-10      1.083e-10      6.174e-09      2.645e-08      2.491e-06      2.881e-06      4.750e-06      6.974e-06      4.946e-06      3.061e-06      1.159e-06      2.063e-07 
 33.00      6.459e-08      7.896e-09      7.332e-09      1.286e-09      2.689e-10      7.011e-11      4.369e-09      1.875e-08      1.928e-06      2.206e-06      3.648e-06      5.523e-06      3.879e-06      2.384e-06      8.970e-07      1.554e-07 
 33.50      4.850e-08      5.562e-09      5.184e-09      8.913e-10      1.855e-10      4.542e-11      3.094e-09      1.330e-08      1.493e-06      1.690e-06      2.802e-06      4.375e-06      3.043e-06      1.857e-06      6.941e-07      1.170e-07 
 34.00      3.644e-08      3.919e-09      3.666e-09      6.180e-10      1.280e-10      2.944e-11      2.191e-09      9.430e-09      1.156e-06      1.295e-06      2.153e-06      3.465e-06      2.387e-06      1.447e-06      5.372e-07      8.817e-08 
 34.50      2.738e-08      2.762e-09      2.593e-09      4.285e-10      8.837e-11      1.908e-11      1.552e-09      6.689e-09      8.952e-07      9.920e-07      1.655e-06      2.745e-06      1.873e-06      1.128e-06      4.158e-07      6.644e-08 
 35.00      2.059e-08      1.948e-09      1.835e-09      2.972e-10      6.104e-11      1.238e-11      1.100e-09      4.746e-09      6.934e-07      7.602e-07      1.273e-06      2.175e-06      1.470e-06      8.789e-07      3.219e-07      5.007e-08 
 35.50      1.549e-08      1.374e-09      1.298e-09      2.062e-10      4.219e-11      8.028e-12      7.799e-10      3.368e-09      5.371e-07      5.827e-07      9.794e-07      1.724e-06      1.154e-06      6.850e-07      2.492e-07      3.774e-08 
 36.00      1.165e-08      9.696e-10      9.190e-10      1.431e-10      2.917e-11      5.210e-12      5.531e-10      2.391e-09      4.162e-07      4.468e-07      7.537e-07      1.366e-06      9.062e-07      5.340e-07      1.930e-07      2.845e-08 
 36.50      8.771e-09      6.844e-10      6.506e-10      9.934e-11      2.018e-11      3.382e-12      3.923e-10      1.698e-09      3.225e-07      3.426e-07      5.803e-07      1.083e-06      7.116e-07      4.163e-07      1.495e-07      2.145e-08 
 37.00      6.604e-09      4.833e-10      4.607e-10      6.897e-11      1.397e-11      2.196e-12      2.784e-10      1.205e-09      2.499e-07      2.627e-07      4.469e-07      8.581e-07      5.588e-07      3.246e-07      1.158e-07      1.618e-08 
 37.50      4.973e-09      3.414e-10      3.263e-10      4.790e-11      9.673e-12      1.426e-12      1.976e-10      8.562e-10      1.937e-07      2.015e-07      3.444e-07      6.803e-07      4.390e-07      2.531e-07      8.969e-08      1.220e-08 
 38.00      3.747e-09      2.412e-10      2.312e-10      3.327e-11      6.701e-12      9.268e-13      1.403e-10      6.083e-10      1.501e-07      1.546e-07      2.654e-07      5.393e-07      3.449e-07      1.974e-07      6.949e-08      9.202e-09 
 38.50      2.823e-09      1.705e-10      1.638e-10      2.312e-11      4.644e-12      6.024e-13      9.961e-11      4.323e-10      1.164e-07      1.187e-07      2.047e-07      4.276e-07      2.710e-07      1.540e-07      5.385e-08      6.942e-09 
 39.00      2.128e-09      1.206e-10      1.161e-10      1.607e-11      3.220e-12      3.917e-13      7.076e-11      3.072e-10      9.024e-08      9.106e-08      1.579e-07      3.391e-07      2.130e-07      1.201e-07      4.173e-08      5.238e-09 
 39.50      1.604e-09      8.527e-11      8.232e-11      1.117e-11      2.233e-12      2.547e-13      5.027e-11      2.184e-10      6.998e-08      6.990e-08      1.218e-07      2.689e-07      1.674e-07      9.374e-08      3.235e-08      3.953e-09 
 40.00      1.210e-09      6.033e-11      5.837e-11      7.764e-12      1.549e-12      1.657e-13      3.573e-11      1.553e-10      5.427e-08      5.367e-08      9.406e-08      2.133e-07      1.316e-07      7.314e-08      2.508e-08      2.983e-09 
 40.50      9.126e-10      4.270e-11      4.140e-11      5.400e-12      1.075e-12      1.078e-13      2.540e-11      1.104e-10      4.210e-08      4.121e-08      7.265e-08      1.692e-07      1.035e-07      5.708e-08      1.944e-08      2.252e-09 
 41.00      6.885e-10      3.023e-11      2.937e-11      3.756e-12      7.467e-13      7.020e-14      1.806e-11      7.856e-11      3.266e-08      3.165e-08      5.613e-08      1.342e-07      8.136e-08      4.455e-08      1.508e-08      1.700e-09 
 41.50      5.196e-10      2.141e-11      2.084e-11      2.613e-12      5.187e-13      4.571e-14      1.284e-11      5.589e-11      2.533e-08      2.432e-08      4.338e-08      1.065e-07      6.399e-08      3.478e-08      1.169e-08      1.284e-09 
 42.00      3.921e-10      1.516e-11      1.479e-11      1.819e-12      3.604e-13      2.978e-14      9.137e-12      3.977e-11      1.966e-08      1.868e-08      3.354e-08      8.450e-08      5.034e-08      2.715e-08      9.069e-09      9.695e-10 
