*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 14.00      8.940e-03      6.818e-03      4.638e-03      1.744e-03      7.607e-04      1.322e-03      3.633e-03      1.028e-02      3.661e-02      1.089e-01      1.110e-01      1.053e-01      6.398e-02      4.181e-02      2.861e-02      1.443e-02 
 14.50      6.446e-03      4.717e-03      3.248e-03      1.197e-03      5.011e-04      8.486e-04      2.515e-03      7.308e-03      2.812e-02      8.798e-02      8.841e-02      7.894e-02      5.224e-02      3.441e-02      2.284e-02      1.136e-02 
 15.00      4.589e-03      3.260e-03      2.275e-03      8.213e-04      3.306e-04      5.429e-04      1.739e-03      5.168e-03      2.160e-02      6.996e-02      6.936e-02      5.876e-02      4.266e-02      2.831e-02      1.818e-02      8.857e-03 
 15.50      3.244e-03      2.253e-03      1.594e-03      5.639e-04      2.186e-04      3.472e-04      1.199e-03      3.641e-03      1.661e-02      5.469e-02      5.400e-02      4.405e-02      3.483e-02      2.325e-02      1.441e-02      6.816e-03 
 16.00      2.292e-03      1.559e-03      1.117e-03      3.873e-04      1.447e-04      2.221e-04      8.240e-04      2.562e-03      1.277e-02      4.224e-02      4.226e-02      3.355e-02      2.842e-02      1.903e-02      1.136e-02      5.177e-03 
 16.50      1.622e-03      1.079e-03      7.828e-04      2.660e-04      9.599e-05      1.421e-04      5.657e-04      1.802e-03      9.820e-03      3.237e-02      3.344e-02      2.599e-02      2.312e-02      1.549e-02      8.921e-03      3.898e-03 
 17.00      1.152e-03      7.473e-04      5.489e-04      1.828e-04      6.378e-05      9.097e-05      3.886e-04      1.268e-03      7.555e-03      2.470e-02      2.666e-02      2.037e-02      1.872e-02      1.255e-02      6.978e-03      2.925e-03 
 17.50      8.202e-04      5.180e-04      3.850e-04      1.256e-04      4.245e-05      5.826e-05      2.673e-04      8.926e-04      5.815e-03      1.882e-02      2.132e-02      1.605e-02      1.505e-02      1.013e-02      5.433e-03      2.192e-03 
 18.00      5.859e-04      3.592e-04      2.701e-04      8.638e-05      2.830e-05      3.733e-05      1.842e-04      6.284e-04      4.477e-03      1.433e-02      1.704e-02      1.266e-02      1.198e-02      8.162e-03      4.210e-03      1.643e-03 
 18.50      4.198e-04      2.493e-04      1.895e-04      5.941e-05      1.889e-05      2.392e-05      1.272e-04      4.425e-04      3.447e-03      1.092e-02      1.362e-02      9.996e-03      9.461e-03      6.554e-03      3.251e-03      1.232e-03 
 19.00      3.017e-04      1.731e-04      1.330e-04      4.087e-05      1.264e-05      1.534e-05      8.797e-05      3.116e-04      2.656e-03      8.317e-03      1.088e-02      7.892e-03      7.423e-03      5.235e-03      2.507e-03      9.236e-04 
 19.50      2.175e-04      1.203e-04      9.340e-05      2.812e-05      8.466e-06      9.839e-06      6.093e-05      2.196e-04      2.046e-03      6.337e-03      8.675e-03      6.231e-03      5.806e-03      4.151e-03      1.932e-03      6.926e-04 
 20.00      1.572e-04      8.363e-05      6.560e-05      1.936e-05      5.680e-06      6.313e-06      4.227e-05      1.547e-04      1.577e-03      4.829e-03      6.888e-03      4.921e-03      4.536e-03      3.265e-03      1.488e-03      5.195e-04 
 20.50      1.139e-04      5.818e-05      4.608e-05      1.333e-05      3.817e-06      4.052e-06      2.936e-05      1.090e-04      1.216e-03      3.681e-03      5.439e-03      3.887e-03      3.543e-03      2.552e-03      1.147e-03      3.897e-04 
 21.00      8.279e-05      4.049e-05      3.238e-05      9.177e-06      2.568e-06      2.602e-06      2.043e-05      7.688e-05      9.372e-04      2.806e-03      4.266e-03      3.070e-03      2.768e-03      1.987e-03      8.840e-04      2.924e-04 
 21.50      6.032e-05      2.820e-05      2.276e-05      6.322e-06      1.731e-06      1.672e-06      1.423e-05      5.422e-05      7.228e-04      2.140e-03      3.323e-03      2.425e-03      2.162e-03      1.544e-03      6.815e-04      2.194e-04 
 22.00      4.405e-05      1.965e-05      1.600e-05      4.356e-06      1.168e-06      1.074e-06      9.923e-06      3.824e-05      5.575e-04      1.632e-03      2.573e-03      1.916e-03      1.690e-03      1.199e-03      5.255e-04      1.647e-04 
 22.50      3.224e-05      1.370e-05      1.125e-05      3.002e-06      7.894e-07      6.906e-07      6.928e-06      2.698e-05      4.302e-04      1.245e-03      1.982e-03      1.514e-03      1.320e-03      9.316e-04      4.052e-04      1.236e-04 
 23.00      2.365e-05      9.561e-06      7.914e-06      2.070e-06      5.342e-07      4.442e-07      4.842e-06      1.904e-05      3.319e-04      9.498e-04      1.521e-03      1.196e-03      1.032e-03      7.237e-04      3.125e-04      9.280e-05 
 23.50      1.739e-05      6.673e-06      5.569e-06      1.427e-06      3.619e-07      2.857e-07      3.388e-06      1.344e-05      2.562e-04      7.248e-04      1.164e-03      9.456e-04      8.069e-04      5.622e-04      2.411e-04      6.969e-05 
 24.00      1.280e-05      4.661e-06      3.919e-06      9.845e-07      2.455e-07      1.839e-07      2.373e-06      9.489e-06      1.978e-04      5.532e-04      8.895e-04      7.474e-04      6.310e-04      4.369e-04      1.860e-04      5.234e-05 
 24.50      9.447e-06      3.257e-06      2.759e-06      6.793e-07      1.668e-07      1.184e-07      1.663e-06      6.701e-06      1.527e-04      4.223e-04      6.796e-04      5.908e-04      4.935e-04      3.395e-04      1.435e-04      3.931e-05 
 25.00      6.982e-06      2.277e-06      1.942e-06      4.688e-07      1.134e-07      7.625e-08      1.167e-06      4.733e-06      1.179e-04      3.224e-04      5.193e-04      4.671e-04      3.860e-04      2.639e-04      1.108e-04      2.953e-05 
 25.50      5.168e-06      1.592e-06      1.368e-06      3.236e-07      7.720e-08      4.913e-08      8.192e-07      3.344e-06      9.109e-05      2.462e-04      3.968e-04      3.693e-04      3.020e-04      2.051e-04      8.552e-05      2.219e-05 
 26.00      3.831e-06      1.114e-06      9.638e-07      2.235e-07      5.261e-08      3.166e-08      5.756e-07      2.363e-06      7.037e-05      1.881e-04      3.033e-04      2.921e-04      2.363e-04      1.595e-04      6.603e-05      1.668e-05 
 26.50      2.844e-06      7.803e-07      6.791e-07      1.543e-07      3.589e-08      2.042e-08      4.047e-07      1.670e-06      5.437e-05      1.437e-04      2.320e-04      2.310e-04      1.849e-04      1.240e-04      5.098e-05      1.253e-05 
 27.00      2.114e-06      5.466e-07      4.787e-07      1.066e-07      2.451e-08      1.317e-08      2.848e-07      1.181e-06      4.201e-05      1.098e-04      1.774e-04      1.827e-04      1.447e-04      9.644e-05      3.937e-05      9.423e-06 
 27.50      1.573e-06      3.830e-07      3.375e-07      7.369e-08      1.675e-08      8.496e-09      2.005e-07      8.352e-07      3.247e-05      8.390e-05      1.357e-04      1.445e-04      1.133e-04      7.501e-05      3.041e-05      7.085e-06 
 28.00      1.172e-06      2.686e-07      2.380e-07      5.094e-08      1.146e-08      5.483e-09      1.412e-07      5.908e-07      2.510e-05      6.413e-05      1.039e-04      1.143e-04      8.873e-05      5.835e-05      2.350e-05      5.328e-06 
 28.50      8.740e-07      1.884e-07      1.679e-07      3.522e-08      7.849e-09      3.540e-09      9.956e-08      4.180e-07      1.941e-05      4.903e-05      7.954e-05      9.046e-05      6.949e-05      4.540e-05      1.815e-05      4.007e-06 
 29.00      6.524e-07      1.322e-07      1.184e-07      2.435e-08      5.379e-09      2.287e-09      7.021e-08      2.958e-07      1.501e-05      3.749e-05      6.092e-05      7.158e-05      5.443e-05      3.532e-05      1.403e-05      3.014e-06 
 29.50      4.874e-07      9.282e-08      8.357e-08      1.685e-08      3.690e-09      1.477e-09      4.954e-08      2.094e-07      1.161e-05      2.868e-05      4.667e-05      5.665e-05      4.264e-05      2.749e-05      1.084e-05      2.268e-06 
 30.00      3.645e-07      6.519e-08      5.899e-08      1.166e-08      2.533e-09      9.549e-10      3.498e-08      1.482e-07      8.977e-06      2.194e-05      3.576e-05      4.484e-05      3.341e-05      2.139e-05      8.382e-06      1.706e-06 
