% Status data:	Final
%																
% Typ of data:	Exceedance Probability Table                                                                                                                                                                            															
%
%																
%	NOORD		30		60		OOST		120		150		ZUID		210		240		WEST		300		330
%Wind speed	1	2	 	3		4		5		6		7		8		9		10		11		12
15	3.19482E-03	6.39220E-04	1.27343E-03	7.96214E-04	1.41848E-03	3.26199E-03	1.82824E-02	5.06823E-02	1.01609E-01	9.23664E-02	2.20633E-02	9.22477E-03
15.5	2.17475E-03	3.77637E-04	8.48069E-04	5.45161E-04	9.79431E-04	2.28233E-03	1.31950E-02	3.78168E-02	7.49425E-02	7.78626E-02	1.73487E-02	7.06583E-03
16	1.48038E-03	2.23099E-04	5.64792E-04	3.73266E-04	6.76276E-04	1.59688E-03	9.52319E-03	3.23587E-02	6.34483E-02	6.03053E-02	1.36416E-02	5.41217E-03
16.5	1.00771E-03	1.31802E-04	3.76137E-04	2.55572E-04	4.66954E-04	1.11729E-03	6.87317E-03	2.16040E-02	4.73563E-02	4.88550E-02	1.07266E-02	3.93605E-03
17	6.85964E-04	7.78657E-05	2.50498E-04	1.74988E-04	3.22422E-04	7.81739E-04	4.96057E-03	1.44237E-02	3.90805E-02	4.04580E-02	8.43455E-03	2.86253E-03
17.5	4.66944E-04	4.60013E-05	1.66825E-04	1.19813E-04	2.22625E-04	5.46962E-04	3.58019E-03	9.62985E-03	2.80460E-02	3.04526E-02	6.63223E-03	2.08181E-03
18	3.17855E-04	2.71765E-05	1.11101E-04	8.20346E-05	1.53718E-04	3.82694E-04	2.58393E-03	6.42928E-03	2.18824E-02	2.29215E-02	5.21504E-03	1.51401E-03
18.5	2.16368E-04	1.60553E-05	7.39906E-05	5.61683E-05	1.06139E-04	2.67760E-04	1.86490E-03	4.29245E-03	1.70733E-02	1.72529E-02	4.10068E-03	1.10108E-03
19	1.47284E-04	9.48510E-06	4.92758E-05	3.84579E-05	7.32867E-05	1.87345E-04	1.33025E-03	2.86582E-03	1.33212E-02	1.29862E-02	3.22443E-03	8.00773E-04
19.5	1.00258E-04	5.60358E-06	3.28164E-05	2.63318E-05	5.06029E-05	1.31080E-04	9.48884E-04	1.91334E-03	1.03936E-02	9.77466E-03	2.40695E-03	5.82370E-04
20	6.82469E-05	3.31047E-06	2.18549E-05	1.80291E-05	3.49402E-05	9.17130E-05	6.76849E-04	1.27742E-03	8.10944E-03	7.35734E-03	1.79672E-03	4.23534E-04
20.5	4.64565E-05	1.95575E-06	1.45548E-05	1.23444E-05	2.41255E-05	6.41691E-05	4.82804E-04	9.15313E-04	6.32725E-03	5.53784E-03	1.34120E-03	3.08020E-04
21	3.16235E-05	1.15541E-06	9.69313E-06	8.45209E-06	1.66581E-05	4.48973E-05	3.44389E-04	6.55850E-04	4.93672E-03	4.16831E-03	1.00117E-03	2.24010E-04
21.5	2.15265E-05	6.82593E-07	6.45538E-06	5.78707E-06	1.15021E-05	3.14134E-05	2.45657E-04	4.69937E-04	3.85179E-03	3.13747E-03	7.47343E-04	1.62914E-04
22	1.46534E-05	4.03260E-07	4.29912E-06	3.96235E-06	7.94193E-06	2.19791E-05	1.75230E-04	3.36725E-04	3.00529E-03	2.36156E-03	5.57870E-04	1.18481E-04
